,Unnamed: 0,prompt,opt1,opt2,pred,act,lang,label
28,28,जीवन एक राष्ट्रीय राजमार्ग है।,जीवन बहुत छोटा होता है।,जीवन बहुत लम्बा होता है।,1,1,hi,correct
29,29,उसकी आँखें हीरे की थीं।,वह उसकी काबलियत समझ नहीं सका।,वह उसकी काबलियत समझ सका।,1,1,hi,correct
30,30,वह एक डूबता सितारा है।,उसकी किस्मत अच्छी नहीं थी।,उसकी किस्मत बहुत अच्छी थी।,0,0,hi,correct
31,31,वह एक चमकता सितारा है।,उसकी किस्मत अच्छी नहीं थी।,उसकी किस्मत बहुत अच्छी थी।,1,1,hi,correct
32,32,उसका दामन काले कम्बल की तरह है।,वह चरित्रहीन है।,वो मासूम है।,0,0,hi,correct
33,33,उसका दामन सफ़ेद चादर की तरह है।,वह चरित्रहीन है।,वो मासूम है।,1,1,hi,correct
34,34,उसकी नज़रें चिड़िया की तरह हैं।,उसकी सोच छोटी है।,वह दूर की सोचता है।,0,0,hi,correct
35,35,उसकी नज़रें चील की तरह हैं।,उसकी सोच छोटी है।,वह दूर की सोचता है।,1,1,hi,correct
36,36,वह शेर की तरह दहाड़ता है।,वह कमजोर है।,वह बहादुर है।,1,1,hi,correct
37,37,उसकी काया पहाड़ जैसी है।,उसका शरीर छोटा है।,उसका शरीर विशाल है।,1,1,hi,correct
38,38,बैल की तरह मजबूत है।,वह कोमल है।,वह सख्त है।,1,1,hi,correct
39,39,वह आदमी उबले पानी जैसा व्यवहार कर रहा था।,वह आदमी बहुत मस्त था।,वह आदमी बहुत गुस्सैल था।,1,1,hi,correct
40,40,एक परी जितनी कीमती है।,बहुत सुनदर है।,बहुत बदसूरत है।,0,0,hi,correct
41,41,रामदीन की चेहरा कोयले की तरह है।,रामदीन बहुत कला है।,रामदीन बहुत गोरा है।,0,0,hi,correct
42,42,उसका मन रेत की तरह ठंडा था।,वह बहुत शांत सुभाव का था।,वह थोड़ी देर के लिए शांत था।,1,1,hi,correct
43,43,विराट कछुए की तरह चुस्त है।,विराट सुस्त है।,विराट तेज है।,0,0,hi,correct
44,44,विराट चीते की तरह चुस्त है।,विराट सुस्त है।,विराट तेज है।,1,1,hi,correct
45,45,महेश दुकान लोमड़ी की तरह चलाता है।,महेश शराफत से दूकान चलाता है।,महेश धोकेबाजी से दूकान चलाता है।,1,1,hi,correct
46,46,उसके चेहरे पर अभिव्यक्ति चाँद की तरह थी।,उसके चहरे पर गुस्सा साफ नज़र आ रहा था।,उसके चहरे पर धैर्य साफ़ नज़र आ रहा था।,1,1,hi,correct
47,47,मेरी पत्नी सुबह के समय घोंघे की तरह व्यस्त रहती है।,मेरी पत्नी काम में बहुत आलसी है।,मेरी पत्नी काम में बहुत तेज है।,0,0,hi,correct
48,48,मेरी पत्नी सुबह के समय मधुमक्खी की तरह व्यस्त रहती है।,मेरी पत्नी काम में बहुत आलसी है।,मेरी पत्नी काम में बहुत तेज है।,1,1,hi,correct
49,49,नौकरानी ने हॉल सफ़ेद चादर सा साफ है।,नौकरानी ने सब अच्छे से साफ़ किया।,नौकरानी ने सब अच्छे से साफ़ नहीं किया।,0,0,hi,correct
50,50,तुम्हार कोट तो घास की तरह है।,तुम्हार कोट बहुत अच्छा नहीं है।,तुम्हार कोट बहुत अच्छा है।,0,0,hi,correct
51,51,तुम्हार कोट तो मखमल की तरह है।,तुम्हार कोट बहुत अच्छा नहीं है।,तुम्हार कोट बहुत अच्छा है।,1,1,hi,correct
52,52,राकेश की दिमाग उस्तरे सा तेज है।,राकेश का दिम्माग बहुत धीमा है।,राकेश का दिम्माग बहुत तेज़ है।,1,1,hi,correct
53,53,उसकी आवाज फटे बांस की तरह है।,उसकी आवाज बहुत बुरी है।,उसकी आवाज बहुत मधुर है।,0,0,hi,correct
54,54,काम के मिलते ही उसका चहरा रौशनी सा सफेद हो गया।,वह काम करके खुश होता है।,वह काम करने से कतराता है।,0,0,hi,correct
55,55,काम के मिलते ही उसका चहरा भूत सा सफेद हो गया।,वह काम करके खुश होता है।,वह काम करने से कतराता है।,1,1,hi,correct
56,56,हार्दिक उगते चाँद की तरह ताजा है।,वह बहुत चुस्त है।,वह बहुत थका हुआ है।,0,0,hi,correct
57,57,लेक्चर लेते समय वह बोर्ड की तरह खड़ा था।,वह विश्वास से भरा हुआ था।,वह बहुत घबराया हुआ था।,1,1,hi,correct
58,58,पोस्टिंग की खबर सुन वह मोर की तरह नाचने लगा।,पोस्टिंग की खबर से वो बहुत दुखी हुआ।,पोस्टिंग की खबर से वो बहुत खुश हुआ।,1,1,hi,correct
59,59,उसके द्वारा दिया गया प्रोत्साहन एक बुलडोजर के समान था। ,उसके द्वारा दिया प्रोत्साहन बहुत असरदार था। ,उसके द्वारा दिया प्रोत्साहन कुछ असरदार नहीं था। ,0,0,hi,correct
60,60,उसके द्वारा दिया गया प्रोत्साहन एक हवा के झोंके के समान था। ,उसके द्वारा दिया प्रोत्साहन बहुत असरदार था। ,उसके द्वारा दिया प्रोत्साहन कुछ असरदार नहीं था। ,1,1,hi,correct
61,61,किशोर एक मेमने की तरह है।,किशोर बहुत मासूम है।,किशोर बहुत चलाक है।,0,0,hi,correct
62,62,किशोर एक भेड़िये की तरह है।,किशोर बहुत मासूम है।,किशोर बहुत चलाक है।,1,1,hi,correct
63,63,वह एक आग की तरह चमकीली लगती है!,वह बहुत कठोर दिल की लगती है।,वह बहुत कोमल दिल की लगती है।,0,0,hi,correct
64,64,वह एक हीरे की तरह चमकीली लगती है!,वह बहुत कठोर दिल की लगती है।,वह बहुत कोमल दिल की लगती है।,1,1,hi,correct
65,65,वह बॉक्सर बच्चे की तरह मजबूत है।,वह बॉक्सर कमजोर है।,वह बॉक्सर बहुत ताकतवर है।,0,0,hi,correct
66,66,वह बॉक्सर भीम की तरह मजबूत है।,वह बॉक्सर कमजोर है।,वह बॉक्सर बहुत ताकतवर है।,1,1,hi,correct
67,67,मेरा जीवन स्वर्ग के समान है।,मेरा जीवन सुखों से भरा है।,मेरा जीवन दुखों से भरा है।,0,0,hi,correct
68,68,मेरा जीवन नर्क के समान है।,मेरा जीवन सुखों से भरा है।,मेरा जीवन दुखों से भरा है।,1,1,hi,correct
69,69,साहूकार का दिल मगरमछ के चमड़े की तरह है।,साहूकार बहुत निर्दयी है।,साहूकार बहुत दयालु है।,0,0,hi,correct
70,70,राधा को पाना अमरुद को तोड़ लाने की तरह आसान है।,राधा को पाना बहुत आसान है।,राधा को पाना बहुत मुश्किल है।,0,0,hi,correct
71,71,वह अभी अभी दुल्हन बनी महिला की तरह खुश है। ,वह सच में बहुत खुश है। ,वह असल में बहुत दुखी है। ,0,0,hi,correct
72,72,वह अभी अभी विधवा बनी महिला की तरह खुश है। ,वह सच में बहुत खुश है। ,वह असल में बहुत दुखी है। ,1,1,hi,correct
73,73,राज साँप की तरह सीधा है।,राज बहुत टेढ़ा आदमी है।,राज बहुत सीधा आदमी है।,0,0,hi,correct
74,74,राज पेंसिल की तरह सीधा है।,राज बहुत टेढ़ा आदमी है।,राज बहुत सीधा आदमी है।,1,1,hi,correct
75,75,नाटक में एक खाई सी गहराई है। ,नाटक में बहुत गहरा अर्थ दर्शाया गया है।,नाटक में बस ऊपरी दिखावा दर्शाया गया है।,1,1,hi,correct
76,76,कोमल चील जितनी बुद्धिमान है।,कोमल बहुत बुद्धिमान है।,कोमल बहुत बेवक़ूफ़ है।,0,0,hi,correct
77,77,नदी का पानी कीचड की तरह साफ है।,नदी का पानी बहुत ज्यादा गंदा है।,नदी का पानी बहुत ज्यादा स्वच्छ है।,0,0,hi,correct
78,78,नदी का पानी क्रिस्टल की तरह साफ है।,नदी का पानी बहुत ज्यादा गंदा है।,नदी का पानी बहुत ज्यादा स्वच्छ है।,1,1,hi,correct
79,79,उसकी वाणी रेशम सी कोमल है।,उसकी वाणी बहुत कर्कश है।,उसकी वाणी बहुत मधुर है।,1,1,hi,correct
80,80,उसके शब्दों में टाइटेनियम सी ताकत है।,उसके वादों पर विश्वास किया जा सकता है।,उसके वादों पर भरोसा नहीं किया जा सकता है।,0,0,hi,correct
81,81,उनके चुंबन में प्रेमियों के विवाह सा जुनून है।,उनके चुंबन प्रदर्शनकारी और तीव्र हैं।,उनका चुंबन भावहीन है।,0,0,hi,correct
82,82,यह सर्दी उतनी ही ठंडी है जितनी मेरी सास मेरे प्रति।,बहुत ठंड है। ,बहुत गरमी है। ,0,0,hi,correct
83,83,कुत्ता एक बूढ़े आदमी की तरह क्रोधित था। ,वह बहुत गुस्से में था। ,वह बहुत अच्छा था। ,0,0,hi,correct
84,84,यात्रा जीवन भर जितनी लंबी थी। ,यात्रा बहुत लंबी थी,यात्रा बहुत छोटी थी।,0,0,hi,correct
85,85,यात्रा पलक झपकने जितनी लंबी थी। ,यात्रा बहुत लंबी थी,यात्रा बहुत छोटी थी।,1,1,hi,correct
86,86,उनके पास एक राजा की सम्पति है। ,वह अमीर है। ,वह गरीब है। ,0,0,hi,correct
87,87,उनके पास एक भिखारी की सम्पति है। ,वह अमीर है। ,वह गरीब है। ,1,1,hi,correct
88,88,इससे नदी किनारे की ठंडी महक आ रही है। ,यह बहुत खुशबूदार है। ,यह बहुत बदबूदार है। ,0,0,hi,correct
89,89,इससे नाले के पास की गंदी महक आ रही है। ,यह बहुत खुशबूदार है। ,यह बहुत बदबूदार है। ,1,1,hi,correct
90,90,वार्तालाप एक बैंक की तिजोरी की तरह होती है। ,बातचीत सार्थक है।,वार्तालाप व्यर्थ है।,0,0,hi,correct
91,91,वार्तालाप एक मुफ्त के कूपन की तरह होती है। ,बातचीत सार्थक है।,वार्तालाप व्यर्थ है।,1,1,hi,correct
92,92,रोहन ने संजय का चेहरा तरबूज की तरह कर दिया।  ,रोहन ने संजय का चेहरा मार मार के चपटा कर दिया।  ,रोहन ने संजय का चेहरा मार मार के सूजा दिया।  ,0,0,hi,correct
93,93,ज्यादा पैसा एक दोस्त कि तरह होता है। ,ज्यादा पैसा अच्छा होता है। ,ज्यादा पैसा बुरा होता है। ,0,0,hi,correct
94,94,ज्यादा पैसा एकदुश्मन कि तरह होता है। ,ज्यादा पैसा अच्छा होता है। ,ज्यादा पैसा बुरा होता है। ,1,1,hi,correct
95,95,उसके साथ बातचीत रामायण की तरह थी। ,बातचीत अच्छी थी। ,बातचीत बुरी थी। ,0,0,hi,correct
96,96,उसके साथ बातचीत महाभारत की तरह थी। ,बातचीत अच्छी थी। ,बातचीत अच्छी थी। ,1,1,hi,correct
97,97,पिछली समुद्र यात्रा मक्खन की तरह निकली।  ,पिछली समुद्र यात्रा बहुत आसान थी।  ,पिछली समुद्र यात्रा बहुत मुश्किल थी।  ,0,0,hi,correct
98,98,पिछली समुद्र यात्रा पहाड़ी रास्ते की तरह निकली।  ,पिछली समुद्र यात्रा बहुत आसान थी।  ,पिछली समुद्र यात्रा बहुत मुश्किल थी।  ,1,1,hi,correct
99,99,स्कूल के छात्र ने दवा की तरह मदद की। ,छात्र ने लम्बी राहत पहुँचाई। ,छात्र ने बस कुछ पल की राहत पहुँचाई। ,0,0,hi,correct
100,100,स्कूल के छात्र ने शराब की तरह मदद की। ,छात्र ने लम्बी राहत पहुँचाई। ,छात्र ने बस कुछ पल की राहत पहुँचाई। ,1,1,hi,correct
101,101,इन दोनों का रिश्ता कश्मीर की ठंडी बर्फ जैसा है। ,उनके रिश्ता में कोई प्यार नहीं। ,उनके रिश्ता में प्यार की गर्माहट है। ,0,0,hi,correct
102,102,यात्रा में सफ़र आग में चलने जैसा होगा।,यात्रा बहुत कठिन होगी।,यात्रा बहुत सुहावनी होगी।,0,0,hi,correct
103,103,यात्रा में सफ़र फूलों में चलने जैसा होगा।,यात्रा बहुत कठिन होगी।,यात्रा बहुत सुहावनी होगी।,1,1,hi,correct
104,104,उसके लिए पैसा कमाना ऑक्सीजन था।,पैसे कमाने ने उसे जीवित रखा।,पैसा कमाना उसे मार रहा था।,0,0,hi,correct
105,105,उसके लिए पैसा कमाना गले का फंदा था।,पैसे कमाने ने उसे जीवित रखा।,पैसा कमाना उसे मार रहा था।,1,1,hi,correct
106,106,वह वक्ता किसी तूफ़ान की तरह बोल रहा था।,वक्ता बहुत शांत था।,वक्ता बहुत जोश में था। ,1,1,hi,correct
107,107,कोमल के गाल आग की तरह खिल ऊठे।,कोमल को बहुत गुस्सा आया। ,कोमल शर्मा गई। ,0,0,hi,correct
108,108,कोमल के गाल गुलाब की तरह खिल ऊठे। ,कोमल को बहुत गुस्सा आया। ,कोमल शर्मा गई। ,1,1,hi,correct
109,109,वह ट्रिप प्लानर धोकेबाज़ था।,ट्रिप प्लानर ने सारा ट्रिप बर्बाद कर दिया। ,ट्रिप प्लानर ने सारा ट्रिप शानदार बना दिया। ,0,0,hi,correct
110,110,वह ट्रिप प्लानर जादूगर था।,ट्रिप प्लानर ने सारा ट्रिप बर्बाद कर दिया। ,ट्रिप प्लानर ने सारा ट्रिप शानदार बना दिया।,1,1,hi,correct
111,111,नर्तकी हाथी की तरह नाची। ,नर्तकी का नाच बहुत सुंदर था। ,नर्तकी का नाच बहुत बकवास था। ,1,1,hi,correct
112,112,बर्गर में माँ के हाथो सा स्वाद है। ,बर्गर बहुत स्वादिष्ट है। ,बर्गर बहुत बेस्वाद है। ,0,0,hi,correct
113,113,बर्गर में धोबी के हाथो सा स्वाद है। ,बर्गर बहुत स्वादिष्ट है। ,बर्गर बहुत बेस्वाद है। ,1,1,hi,correct
114,114,तस्वीर में ज़िन्दगी की चाहत थी।,तस्वीर में ख़ुशी झलक रही थी। ,तस्वीर में दुखों की झलक थी। ,0,0,hi,correct
115,115,तस्वीर में मौत की चाहत थी।,तस्वीर में ख़ुशी झलक रही थी। ,तस्वीर में दुखों की झलक थी। ,1,1,hi,correct
116,116,बच्चा एक पुजारी की तरह धार्मिक था। ,बच्चा बहुत धार्मिक था। ,बच्चा बिलकुल भी धार्मिक नहीं था। ,0,0,hi,correct
117,117,बच्चा एक राक्षस की तरह धार्मिक था। ,बच्चा बहुत धार्मिक था। ,बच्चा बिलकुल भी धार्मिक नहीं था। ,1,1,hi,correct
118,118,महिला एक शिक्षक की तरह दयालु थी। ,महिला दयालु थी। ,महिला क्रूर थी। ,0,0,hi,correct
119,119,महिला एक कैदी की तरह दयालु थी। ,महिला दयालु थी। ,महिला क्रूर थी। ,1,1,hi,correct
120,120,परीक्षा चाय बनाने जितनी आसान थी। ,परीक्षा आसान थी। ,परीक्षा कठिन थी। ,0,0,hi,correct
121,121,खिलाड़ियों को सोने की तरह होना चाहिए। ,खिलाड़ियों को अभ्यास की जरुरत नहीं होनी चाहिए। ,खिलाड़ियों को सख्त अभ्यास की जरुरत होती है। ,0,0,hi,correct
122,122,खिलाड़ियों को हीरे की तरह होना चाहिए। ,खिलाड़ियों को अभ्यास की जरुरत नहीं होनी चाहिए। ,खिलाड़ियों को सख्त अभ्यास की जरुरत होती है। ,1,1,hi,correct
123,123,मास्टर जी मीठे पानी की तरह पढ़ाते हैं। ,मास्टर जी प्यार से पढ़ाते हैं। ,मास्टर जी गुस्से से पढ़ाते हैं। ,0,0,hi,correct
124,124,मास्टर जी कड़वे पानी की तरह पढ़ाते हैं। ,मास्टर जी प्यार से पढ़ाते हैं। ,मास्टर जी गुस्से से पढ़ाते हैं। ,1,1,hi,correct
125,125,होटल का बिस्तर फट्टे की तरह था। ,होटल का बिस्तर नरम था।,होटल का बिस्तर सख्त था।,1,1,hi,correct
126,126,जीवन शांत झील के पानी सा बहता है। ,जीवन आसानी से व्यतीत हो जाता है। ,जीवन मुश्किलों से भरा होता है। ,0,0,hi,correct
127,127,नाटक के कलाकार जैसे चूहे बिल्ली का खेल रहे थे। ,नाटक के कलाकारों का प्रदर्शन बहुत ख़राब था। ,नाटक के कलाकारों का प्रदर्शन बहुत अच्छा था।,0,0,hi,correct
128,128,लड़की का व्यक्तित्व गुलाब जामुन की तरह मीठा था,लड़की का व्यक्तित्व बहुत ही असभ्य था।,लड़की का व्यक्तित्व प्यारा था।,1,1,hi,correct
129,129,फिल्म में गुरु की सिखलाई थी। ,फिल्म अच्छाई से भरी थी। ,फिल्म बुराई से भरी थी। ,0,0,hi,correct
130,130,फिल्म में शैतान की सिखलाई थी। ,फिल्म अच्छाई से भरी थी। ,फिल्म बुराई से भरी थी।,1,1,hi,correct
131,131,बाँसुरी की आवाज़ रेशम की तरह चिकनी थी। ,बाँसुरी की आवाज़ बहुत मधुर थी। ,बाँसुरी की आवाज़ बहुत बेसुरी थी।,0,0,hi,correct
132,132,नशे ने उसे मौत का अहसास करवाया। ,नशे से उसे दुःख का अहसास हुआ। ,नशे से उसे ख़ुशी का अहसास हुआ। ,0,0,hi,correct
133,133,नशे ने उसे ज़िन्दगी का अहसास करवाया। ,नशे से उसे दुःख का अहसास हुआ। ,नशे से उसे ख़ुशी का अहसास हुआ।,1,1,hi,correct
134,134,उसका दिल फूटबाल के मैदान की तरह विशाल था।,दिल बहुत बड़ा था। ,दिल बहुत छोटा था। ,0,0,hi,correct
135,135,उसके पैरों में घोड़े सी तेजी थी। ,वह बहुत तेज़ दौड़ता था। ,वह बहुत तेज़ नहीं दौड़ता था। ,0,0,hi,correct
136,136,स्ट्रीट लाईट की रौशनी सूर्य सी तेज थी। ,स्ट्रीट लाईट की रौशनी बहुत जयादा थी। ,स्ट्रीट लाईट की रौशनी बहुत थोड़ी थी। ,0,0,hi,correct
137,137,होटल में एक आदमी के पर्स सी जगह थी। ,होटल में बहुत कम जगह थी।,होटल में बहुत ज्यादा जगह थी।,0,0,hi,correct
138,138,डॉक्टर राम की तरह अपने मरीज को देखता है। ,डॉक्टर मरीजों के साथ अच्छा व्यहवार करता है।,डॉक्टर मरीजों के साथ अच्छा व्यहवार नहीं करता है।,0,0,hi,correct
139,139,डॉक्टर रावण की तरह अपने मरीज को देखता है। ,डॉक्टर मरीजों के साथ अच्छा व्यहवार करता है।,डॉक्टर मरीजों के साथ अच्छा व्यहवार नहीं करता है।,1,1,hi,correct
140,140,कमरे में कांच की बॉटल के टूटने की आवाज़ परमाणु बम की तरह थी। ,बोतल टूटने की आवाज बहुत ज्यादा थी। ,बोतल टूटने की आवाज बहुत काम थी।,0,0,hi,correct
141,141,कमरे में कांच की बॉटल के टूटने की आवाज़ सुतली बम की तरह थी। ,बोतल टूटने की आवाज बहुत ज्यादा थी। ,बोतल टूटने की आवाज बहुत काम थी।,1,1,hi,correct
142,142,डॉक्टर ने रात का खाना एक हाथी की तरह खाने को कहा है। ,डॉक्टर ने बहुत रात को बहुत काम खाने को कहा है।,डॉक्टर ने बहुत रात को बहुत ज्यादा खाने को कहा है।,1,1,hi,correct
143,143,कवच लोहे की तरह सख्त था। ,कवच बहुत मजबूत था। ,कवच बहुत कमजोर था। ,0,0,hi,correct
144,144,वह अपने खिलौने की देखभाल एक जंगली शेर की तरह करता है।,वह अपने खिलौने का बिलकुल ख्याल नहीं रखता है।  ,वह अपने खिलौने का बहुत ख्याल रखता है।  ,0,0,hi,correct
145,145,वकील ने समझौते की बात एक औरत के दूकानदार से मोलभाव की तरह की। ,वकील ने समझौते की बात विस्तार से और अच्छे की।,वकील ने समझौते की बात छोटी और बुरी की।,1,1,hi,correct
146,146,शीशे का जग टूट के मकड़ी के जाल सा बिखर गया। ,शीशे के जग के बहुत सारे टुकड़े हो गए। ,शीशे के जग के दो टुकड़े हो गए।,0,0,hi,correct
147,147,शहर की नयी इमारत एवरेस्ट की चोटी की तरह थी। ,शहर की नयी इमारत बहुत विशाल थी। ,शहर की नयी इमारत बहुत छोटी थी। ,0,0,hi,correct
148,148,शहर की नयी इमारत चिड़िया के घोंसले की तरह थी। ,शहर की नयी इमारत बहुत विशाल थी। ,शहर की नयी इमारत बहुत छोटी थी।,1,1,hi,correct
149,149,रोशन में देवताओं सी विशेषता थी। ,रोशन बहुत अच्छा इंसान था। ,रोशन बहुत गंदा इंसान था।,0,0,hi,correct
150,150,रोशन में दानव सी विशेषता थी।,रोशन बहुत अच्छा इंसान था।,रोशन बहुत गंदा इंसान था।,1,1,hi,correct
151,151,ऋषभ लोमड़ी सा चलाक था। ,ऋषभ बहुत ज्यादा चलाक था।,ऋषभ बहुत ज्यादा भोला था।,0,0,hi,correct
152,152,वह आदमी खच्चर जैसा जिद्दी है।,उसका निर्णय बदलना मुश्किल है। ,उसका निर्णय बदलना इतना मुश्किल नहीं है।,0,0,hi,correct
153,153,अपने दोस्तों को मूक चलचित्र की तरह खामोश देख वो समझ गया कुछ गड़बड़ है। ,उसके दोस्त कुछ शैतानी प्लान बना रहे थे।,उसके दोस्त बहुत गंभीर सोच में दुबे थे।,0,0,hi,correct
154,154,यह शाल बोरी की तरह हलकी है। ,यह शाल बहुत पतले धागे से बानी है। ,यह शाल बहुत मोटे धागे से बानी है। ,0,0,hi,correct
155,155,"आप उस पर भरोसा कर सकते हैं, वह तीर की तरह सीधा है।",वह भरोसे के लायक है। ,वह भरोसे के लायक बिलकुल नहीं है। ,0,0,hi,correct
156,156,वह सुअर की तरह खाती है। ,वह बहुत कम खाना खाती है। ,वह बहुत ज्यादा खाना खाती है।,1,1,hi,correct
157,157,वह रेस में कछुए की तरह दौड़ी।,वह रेस में बहुत धीरे भागी। ,वह रेस में बहुत तेज भागी।,0,0,hi,correct
158,158,वह रेस में बिजली की तरह दौड़ी।  ,वह रेस में बहुत धीरे भागी।,वह रेस में बहुत तेज भागी।,1,1,hi,correct
159,159,वह पानी से बाहर मछली की तरह दिखता है। ,वह बहुत आत्मविश्वास में रहता है। ,वह बहुत डरा हुआ रहता है।,1,1,hi,correct
160,160,राधा एक चुलबुले बच्चे की तरह सो गई।,राधा बहुत थक गई थी।,राधा बहुत मस्ती में थी।,0,0,hi,correct
161,161,यह कालीन मगरमछ की खाल की तरह कोमल था।,कालीन बहुत सख्त था। ,कालीन बहुत नर्म था।,0,0,hi,correct
162,162,स्विमिंग जंगली पगडंडी की तरह सीखी जा सकती है। ,स्विमिंग बहुत मुश्किल है। ,स्विमिंग बहुत आसान है। ,0,0,hi,correct
163,163,स्विमिंग गाँव की पगडंडी की तरह सीखी जा सकती है।,स्विमिंग बहुत मुश्किल है। ,स्विमिंग बहुत आसान है। ,1,1,hi,correct
164,164,यह चमड़े की तरह कटता है। ,यह बहुत सख्त है। ,यह बहुत कोमल है। ,0,0,hi,correct
165,165,हवाई जहाज चील की तरह उड़ गया। ,हवाई जहाज बहुत ऊँचा उड़ गया।,हवाई जहाज बहुत ऊँचा नहीं उड़ सका।,1,1,hi,correct
166,166,शार्क के दांत चमच जैसे थे।,शार्क के दांत तेज नहीं थे। ,शार्क के दांत तेज थे।,0,0,hi,correct
167,167,शार्क के दांत रेजर जैसे थे। ,शार्क के दांत तेज नहीं थे।,शार्क के दांत तेज थे।,1,1,hi,correct
168,168,पुलिस इंस्पेक्टर भेड़िये की तरह शरीफ थी।,पुलिस इंस्पेक्टर रिश्वतखोर था। ,पुलिस इंस्पेक्टर रिश्वतखोर नहीं था। ,0,0,hi,correct
169,169,पुलिस इंस्पेक्टर गाय की तरह शरीफ थी। ,पुलिस इंस्पेक्टर रिश्वतखोर था।,पुलिस इंस्पेक्टर रिश्वतखोर नहीं था।,1,1,hi,correct
170,170,न्यूज़ रिपोर्टर के सवाल चाबुक की तरह तेज थे। ,न्यूज़ रिपोर्टर बहुत ढीली थी।,न्यूज़ रिपोर्टर बहुत तेज थी।,1,1,hi,correct
171,171,बैंक मैनेजर कुत्ते की तरह सोया हुआ है। ,बैंक मैनेजर ने बैंक बहुत अच्छे से संभाला हुआ है।,बैंक मैनेजर को बैंक चलाना नहीं आता है।,1,1,hi,correct
