,Unnamed: 0.1,Unnamed: 0,prompt,opt1,opt2,pred,act,lang,label
1944,1944,62,Ade climbs the mountain at night without sufficient light like a bat with sharp eyes.,Ade carefully climbs the mountain at night under the light.,Ade groped up the mountain at night under the light.,1,0,id,wrong
5721,5721,86,Adébetet spat loudly while arguing with Mande's friend,Adegbete was angry when he was talking to his friend,Adegbete laughed con nit ba ty as he dreamed of his friend talking,0,0,yo,correct
6065,6065,84,Adégbette burst into tears while arguing with Makinde's friend,Adegbete was angry when he was talking to his friend,Adegbete laughed con nit ba ty as he dreamed of his friend talking,0,1,yo,wrong
5841,5841,206,Adelani is shedding like a snake,Adelani was speaking with anger,Alibi was speaking slowly,1,1,yo,correct
6171,6171,190,Adelani was patiently waiting,Adelani was speaking with anger,Alibi spoke slowly,1,0,yo,wrong
6088,6088,107,Adenifuja is the oldest in our group,Adenifuja is not our member,The leader of our group is Adenifujja,1,0,yo,wrong
6089,6089,108,Adenifuja is not an Ogreri in our group,Adenifuja is not our member,The leader of our group is Adenifujja,0,1,yo,wrong
5746,5746,111,Aderemi made Arimom like a soap when they fought a fight yesterday,Aderemi and Arimor at the wrestling match yesterday,Aderemi played with Arimo at the wrestling match yesterday,1,1,yo,correct
5747,5747,112,Aderemi took Arimo to the king yesterday,Aderemi and Arimor at the wrestling match yesterday,Aderemi played with Arimo at the wrestling match yesterday,0,0,yo,correct
5754,5754,119,Adéşola is the son of an elder in Yoruba customs and practices,Adeshola has an in-depth knowledge of Yoruba customs and practices,Adéşola has a head instead,0,0,yo,correct
5755,5755,120,"The son of Egun, Adéşola does not know about Yoruba culture",Adeshola has an in-depth knowledge of Yoruba customs and practices,Adéşola has a head instead,1,1,yo,correct
6082,6082,101,Why does Adesina act like a fool?,Adesinna likes childish behavior,Adesina likes not to go fast,0,1,yo,wrong
6083,6083,102,Why did Adésina buy a new house?,Adesinna likes childish behavior,Adesina likes not to go fast,1,0,yo,wrong
2387,2387,249,Adi is fussy because her stomach rumbles,Adi is fussy because he is hungry,Adi is fussy because he is satisfied,0,0,jv,correct
2671,2671,131,Adi is fussy because his stomach is full,Adi is fussy because he is hungry,Adi is fussy because he is satisfied,0,1,jv,wrong
6300,6300,319,Adigun burned Ayo's face,Adigun is angry with Ayoy,Adigung felt sorry for Ayoy,0,1,yo,wrong
5932,5932,297,Adigung consoled Ayoy,Adigun is angry with Ayoy,Adigung felt sorry for Ayoy,0,0,yo,correct
6134,6134,153,Adigung has been generous since childhood,Adigun is stealing,Addigun has bought new shoes,1,0,yo,wrong
5800,5800,165,Adigung has been dreaming since childhood,Adigun is stealing,Addigun has bought new shoes,1,1,yo,correct
5647,5647,12,Adigun is a hard-working criminal in poetry,Adigun knows how to sing,Adigun does not know how to sing.,1,1,yo,correct
5646,5646,11,Adigún is a model in singing,Adigun knows how to sing,Adigun does not know how to sing.,0,0,yo,correct
5826,5826,191,Adimulah ate some food at the wedding we attended yesterday,Adimula ate a lot of food at the wedding we attended yesterday,Adimula didn't eat much at the wedding we went to yesterday,0,0,yo,correct
6156,6156,175,It was a feast for the bride and groom at the wedding we went to yesterday,Adimula ate a lot of food at the wedding we attended yesterday,"At the wedding we attended yesterday, there were only two beauties",0,1,yo,wrong
6099,6099,118,Adimula made dust for his teams,Adimulah is dead,Adimulala went and stole the dust,1,0,yo,wrong
5761,5761,126,Adimula has eaten the dust from the sacrifice,Adimulah is dead,Adimulala went and stole the dust,1,1,yo,correct
5726,5726,91,Adisa drank 30 bottles of wine at the wine house yesterday,Adisa drank a lot of wine,Addisá took a small wine,0,0,yo,correct
5727,5727,92,Adisa did not drink wine at all at the wine house yesterday,Adisa drank a lot of wine,Addisá took a small wine,1,1,yo,correct
6332,6332,351,Adisa is too old to dream,Adisa has spoken wisely,Adisa has spoken wisely,1,0,yo,wrong
5952,5952,317,Adisa has already warmed up,Adisa has spoken wisely,Adisa has spoken wisely,1,1,yo,correct
5903,5903,268,Okété carried Adisa's hand,Adisa lost a big thing,Adisha saw a great thing,1,1,yo,correct
6265,6265,284,Addisá greeted Okété,Adisa lost a big thing,Adisha received a great deal,1,0,yo,wrong
5918,5918,283,A fruit of honey,Adisha got into trouble,Adisa took pleasure in it,1,1,yo,correct
6280,6280,299,The wheat has yielded abundantly,Adisha got into trouble,Adisa took pleasure in it,1,0,yo,wrong
524,524,524,Aditi lights ghee lamps after winning the race.,Aditi was very happy after winning the race.,Aditi was not very happy even after winning the race.,0,0,hi,correct
914,914,246,"After winning the race, Aditi lit the lamps of Ghaslet.",Aditi was very happy after winning the race.,Aditi was not very happy even after winning the race.,0,1,hi,wrong
5382,5382,22,Youth hot water,Adolescence has many challenges,Youth does not have many challenges,1,0,sw,wrong
4607,4607,71,Youth is like water,Adolescence has many challenges,Youth does not have many challenges,1,1,sw,correct
6335,6335,354,A dove is a dove,Aduke is a bad person,Aduke is a simple person,1,0,yo,wrong
5955,5955,320,Aduque is a smallpox,Aduke is a bad person,Aduke is a simple person,1,1,yo,correct
6180,6180,199,The crown has listened to the matter,Adé is worried,The crown is listening to me,1,0,yo,wrong
6179,6179,198,The crown scares me,Adé is worried,The crown is listening to me,0,1,yo,wrong
5968,5968,333,Lie down,Adébare is disappointed,Falsehood is exalted,1,1,yo,correct
6346,6346,365,Raise your head,Adébare is disappointed,Falsehood is exalted,1,0,yo,wrong
6023,6023,42,Adékunle was like a lizard,Adékunlé's head is ripe,Adékunlé's head is not ripe,1,0,yo,wrong
5687,5687,52,Adékunlé has broken his head where he went to fight,Adékunlé's head is ripe,Adékunlé's head is not ripe,1,1,yo,correct
5734,5734,99,Look at how Adénuga climbs trees like a monkey,Adénuga cut the tree well,Adénúga sleeps on a tree,1,1,yo,correct
5735,5735,100,Adénuga loves how monkeys climb trees,Adénuga cut the tree well,Adénúga sleeps on a tree,0,0,yo,correct
5951,5951,316,Adéoye arrived yesterday,Adéoye is dead,Adéoye is alive,1,1,yo,correct
6331,6331,350,Adeoye always clicked on the page,Adéoye is dead,Adéoye is alive,1,0,yo,wrong
6096,6096,115,Adesua hit the wall yesterday at the hospital,Adésuà gave birth to a new baby yesterday,Adesuà gave birth to a new child,1,0,yo,wrong
5756,5756,121,Adesua started getting sick yesterday at the hospital,Adésuà gave birth to a new baby yesterday,Adesuà gave birth to a new child,1,1,yo,correct
6279,6279,298,Adéwale has crushed the corn,Adéwalé has seen trouble,Adévalé has seen a birthday,0,1,yo,wrong
5917,5917,282,Adéwale has stolen the corn,Adéwalé has seen trouble,Adévalé has seen a birthday,0,0,yo,correct
5753,5753,118,Chickens do not play with dogs,Adéyami has been angry since morning,Adeyemi laughed at him since morning,0,0,yo,correct
5752,5752,117,Adéyami Kranra gave birth to a dog in the morning,Adéyami has been angry since morning,Adeyemi laughed at him since morning,1,1,yo,correct
2573,2573,33,"After coming home from the sick house, Siti's face was still as red as a leaf","After coming home from the sick house, Siti's face was very pale","After coming home from the hospital, Siti's face was very bright",0,1,jv,wrong
2173,2173,35,"After coming home from the sick house, Siti's face was still red","After coming home from the sick house, Siti's face was very pale","After coming home from the hospital, Siti's face was very bright",0,0,jv,correct
1098,1098,100,"Like living in hell, since my father remarried.","After dad remarried, life got worse.","After my father remarried, life was very beautiful.",0,0,id,correct
1099,1099,101,"It's like living in heaven, since my father remarried.","After dad remarried, life got worse.","After my father remarried, life was very beautiful.",1,1,id,correct
1054,1054,56,"After he came, things were like clothes being washed in mud.","After he came, things got worse.","After he came, things got better.",0,0,id,correct
1055,1055,57,"After he came, things were like a rainbow that appeared after the rain.","After he came, things got worse.","After he came, things got better.",1,1,id,correct
1996,1996,114,"After so many incidents, his mentality was like a rock.",After many incidents that befell him mentally strong.,After many incidents that befell him mentally weak.,1,0,id,wrong
1348,1348,350,"After all that had happened, his mentality was like jelly.",After many incidents that befell him mentally strong.,After many incidents that befell him mentally weak.,1,1,id,correct
1948,1948,66,"After the aqiqah event, my baby nephew's head became like a young rambutan.","After the aqiqah event, my nephew's head became bald.","After the aqiqah event, my nephew's head became spiky.",0,1,id,wrong
1212,1212,214,"After the aqiqah event, my baby nephew's head became like a garden lamp which was round and smooth.","After the aqiqah event, my nephew's head became bald.","After the aqiqah event, my nephew's head became spiky.",0,0,id,correct
1970,1970,88,"After the trial was over, the defendant behaved as if he had stepped out of a luxury car with his face looking up.","After the trial was over, the defendant apologized.","After the trial was over, the defendant behaved arrogantly.",0,1,id,wrong
1254,1254,256,"After the trial was over, the defendant acted as if he had just left the mosque on Eid al-Fitr.","After the trial was over, the defendant apologized.","After the trial was over, the defendant behaved arrogantly.",0,0,id,correct
2196,2196,58,"After wandering for a long time, he felt more arrogant","After traveling for a long time, the person became more humble","After wandering for a long time, the man's head got bigger",1,1,jv,correct
2195,2195,57,"After wandering for a long time, he felt more humble","After traveling for a long time, the person became more humble","After wandering for a long time, the man's head got bigger",0,0,jv,correct
4581,4581,45,"Aisha, just keep on mouthing","Aisha, shut your mouth","Aisha, just keep talking a lot",1,1,sw,correct
4580,4580,44,"Aisha, close your bowl!","Aisha, shut your mouth","Aisha, just keep talking a lot",0,0,sw,correct
6363,6363,382,Ájádí is the one who is tired,Ajadi is the one who spoils things,Ajádí is the one who fixes things,0,1,yo,wrong
6364,6364,383,Ajadí washed the dishes,Ajadi is the one who spoils things,Ajádí is the one who fixes things,1,0,yo,wrong
6272,6272,291,Ajadi saw the water of Ayoy's mercy,Ajadi saw Ayoy's anger,Ajadi found Ayoy's favor,1,0,yo,wrong
6271,6271,290,Ajadi saw Ayoy's eyes widening,Ajadi saw Ayoy's anger,Ajadi found Ayoy's favor,0,1,yo,wrong
6195,6195,214,The elders have prayed for Ajadí,Ajadí saw the anger of those who were above him,Ajadi saw the compassion of those who were above him,1,0,yo,wrong
6194,6194,213,Ajadi pressed the old clothes,Ajadí saw the anger of those who were above him,Ajadi saw the compassion of those who were above him,0,1,yo,wrong
5688,5688,53,The killer is not a heavenly person,Ajani is cursed,A curse is not a curse,1,1,yo,correct
6026,6026,45,Ajani is a heavenly person,Ajani is cursed,A curse is not a curse,1,0,yo,wrong
590,590,590,Ajay spread like a sofa in the house.,Ajay did not do any work in the house.,Ajay used to do his own work at home.,0,0,hi,correct
956,956,288,Ajay spread like a chair in the house.,Ajay did not do any work in the house.,Ajay used to do his own work at home.,0,1,hi,wrong
5831,5831,196,Ajikobi gave birth to the one who will never die again,Ajikobi is very happy/ Ajikobi is very happy,Ajikobi has entered the ship,0,0,yo,correct
6163,6163,182,Ajikobi did not know how he died,Ajikobi is very happy/ Ajikobi is very happy,Ajikobi has entered the ship,0,1,yo,wrong
5864,5864,229,Aignla shaves Ajála's head,Ajnla chose Ajála,Ainila was honest with Ajála,1,1,yo,correct
6220,6220,239,Ayinla created Ajala tomorrow,Ajnla chose Ajála,Ainila was honest with Ajála,1,0,yo,wrong
5985,5985,4,Akekeele sent his friend Okete to heaven with his anger,Akekéé killed Okété,Akekéé didn't kill Okété,0,1,yo,wrong
5655,5655,20,Akekeele angrily sent his friend Okete to the dance hall,Akekéé killed Okété,Akekéé didn't kill Okété,0,0,yo,correct
6285,6285,304,Akinsanya is the unstoppable one,Akinsanya from the necklace of eating,It's the joy of eating,1,0,yo,wrong
6284,6284,303,Akinsanya is a cow,Akinsanya from the necklace of eating,It's the joy of eating,0,1,yo,wrong
5772,5772,137,"After he was arrested, he did not find a job anymore",Alake has another job after the government job,Sugar worked a lot yesterday,1,1,yo,correct
5771,5771,136,"After Alake's government work, he looked for something else",Alake has another job after the government job,Sugar worked a lot yesterday,0,0,yo,correct
5668,5668,33,Álamú is the king in our family,Alam is not in a hurry,Don't walk in confusion,0,0,yo,correct
5667,5667,32,There is a fire in Álamú's heart,Alam is not in a hurry,Don't walk in confusion,1,1,yo,correct
6013,6013,32,Alamu saw the sea singing when he was coming home from work,Alam saw the sea raging,Alam saw the calm sea,1,0,yo,wrong
6014,6014,33,Alamu saw the burning sea when he was coming home from work,Alam saw the sea raging,Alam saw the calm sea,0,1,yo,wrong
5592,5592,232,"Alas! Benjamin, you are as fast as an ambulance with a critically ill patient",Alas! Benjamin you are in a hurry today,"Alas! Benjamin, are you in a hurry?",1,0,sw,wrong
5269,5269,733,"Alas! Benjamin, You are as quick as a siafu carrying a stew",Alas! Benjamin you are in a hurry today,"Alas! Benjamin, are you in a hurry?",1,1,sw,correct
4640,4640,104,Alcohol made him feel like death,Alcohol made him feel bad,Alcohol made him very happy,0,0,sw,correct
4641,4641,105,The alcohol made him feel like he had licked honey,Alcohol made him feel bad,Alcohol made him very happy,1,1,sw,correct
2246,2246,108,Aldi and Doni are friends who are like a chain,Aldi and Doni are friends who are as strong as a chain,Aldi and Doni are friends who are as fragile and thin as strings,0,0,jv,correct
2612,2612,72,Aldi and Doni are close friends,Aldi and Doni are friends who are as strong as a chain,Aldi and Doni are friends who are as fragile and thin as strings,0,1,jv,wrong
2204,2204,66,Aldo is working like a machine,Aldo works very quickly,Aldo works very slowly,0,0,jv,correct
2205,2205,67,Aldo works like a snail,Aldo works very quickly,Aldo works very slowly,1,1,jv,correct
3821,3821,331,Kale is fibrous like yam,Alfalfa contains fiber,Alfalfa does not contain fiber,1,0,kn,wrong
3267,3267,529,Kale is as fibrous as pepper,Alfalfa contains fiber,Alfalfa does not contain fiber,1,1,kn,correct
4712,4712,176,Alfred went to test and was found to be electrocuted,Alfred went for a test and was diagnosed with AIDS,Alfred went for a test but was not found to have AIDS,0,0,sw,correct
4713,4713,177,Alfred went to test but no electricity was found,Alfred went for a test and was diagnosed with AIDS,Alfred went for a test but was not found to have AIDS,1,1,sw,correct
4625,4625,89,He was as gentle as a sheep.,Ali is very clever,Ali is very gentle.,1,1,sw,correct
4624,4624,88,Ali is a rabbit,Ali is very clever,Ali is very gentle.,0,0,sw,correct
5876,5876,241,Álibi's father helped him die,Ali's father died because of it,They killed Álibi's father,0,0,yo,correct
5877,5877,242,Father Álibi is rather poor,Ali's father died because of it,They killed Álibi's father,1,1,yo,correct
5216,5216,680,Alice's father is pepper,Alice's father is very strict,Alice's father is nice and kind,0,0,sw,correct
5571,5571,211,Alice's father is as sharp as a fly,Alice's father is very strict,Alice's father is nice and kind,0,1,sw,wrong
5553,5553,193,All animals are alive as yesterday.,All animals are alive.,All animals have died.,0,1,sw,wrong
5138,5138,602,All animals are alive as the vision of life to be.,All animals are alive.,All animals have died.,0,0,sw,correct
4595,4595,59,His whole life is like thorns.,All his life he has grown up experiencing a lot of pain,All his life he has never experienced pain,0,0,sw,correct
4596,4596,60,His whole life is like bread and tea.,All his life he has grown up experiencing a lot of pain,All his life he has never experienced pain,1,1,sw,correct
1981,1981,99,"All members of my family are so magical. However, nothing beats grandpa. He was born alone.","All members of my family are so magical. However, nothing beats grandpa. He is a child of royalty.","All members of my family are so magical. However, nothing beats grandpa. He is an orphan.",0,1,id,wrong
1301,1301,303,"All members of my family are so magical. However, nothing beats grandpa. He is of blue blood descent.","All members of my family are so magical. However, nothing beats grandpa. He is a child of royalty.","All members of my family are so magical. However, nothing beats grandpa. He is an orphan.",0,0,id,correct
5865,5865,230,All of you hurry up,All of you go and calm down,All of you go and raise your spirits,1,1,yo,correct
6221,6221,240,All of you go to three,All of you go and calm down,All of you go and raise your spirits,1,0,yo,wrong
3903,3903,413,All the students were bored to celebrate the school farewell ceremony,All the students were bored,Not all students are bored,0,1,kn,wrong
3419,3419,681,All the students were tired of saying goodbye at the school farewell ceremony,All the students were bored,Not all students are bored,0,0,kn,correct
5914,5914,279,All have responsibilities,All together,All in the cold,0,0,yo,correct
5913,5913,278,It's all in vain,All together,All in the cold,1,1,yo,correct
2562,2562,22,Allia worked like a hungry tiger,Allia's work is very fast,Allia's work is very slow,0,1,jv,wrong
2166,2166,28,Allia works like a bull,Allia's work is very fast,Allia's work is very slow,0,0,jv,correct
5834,5834,199,Alonghe never said the bottom line of the matter,Alonghe has said the matter as it is,Alone does not eat much,1,1,yo,correct
5833,5833,198,Alonghe has already discussed the issue,Alonghe has said the matter as it is,Alone does not eat much,0,0,yo,correct
5823,5823,188,Alonge has confirmed the rumor in our hands,Alonghe knows how to lie,The wise man does not lie,1,1,yo,correct
5822,5822,187,Alonge has made noise into grain that he eats with effort soup,Alonghe knows how to lie,The wise man does not lie,0,0,yo,correct
2627,2627,87,"Even though he is rich, Mr. Tomo works like he has a bag of diamonds","Although he is rich, Mr. Tomo works diligently","Although he is rich, Mr. Tomo is lazy",0,1,jv,wrong
2626,2626,86,"Even though he is rich, Mr. Tomo works as if he is being chased by debt","Although he is rich, Mr. Tomo works diligently","Although he is rich, Mr. Tomo is lazy",1,0,jv,wrong
6199,6199,218,Goodness,Alácobá,Sponsor,1,0,yo,wrong
6198,6198,217,A barrister,Alácobá,Sponsor,0,1,yo,wrong
6035,6035,54,Adolabi is a leper,An adult cannot live among people,Twins can live among people,0,1,yo,wrong
5699,5699,64,A leper is not a leper,An adult cannot live among people,Twins can live among people,0,0,yo,correct
1128,1128,130,Doing Python's work is like fighting on the battlefield.,An unpleasant Python task.,Fun Python tasks.,0,0,id,correct
1129,1129,131,Doing Python assignments is like dancing to music.,An unpleasant Python task.,Fun Python tasks.,1,1,id,correct
2549,2549,9,"In general, Anas' younger brother said to the coconut tree",Anas's brother is very tall,Anas' younger brother is short,1,0,jv,wrong
2550,2550,10,"In general, said Anas's brother from the palm tree",Anas's brother is very tall,Anas' younger brother is short,0,1,jv,wrong
2042,2042,160,Andi likes school like ants love sugar.,Andi likes school.,Andy hates school.,1,0,id,wrong
1546,1546,548,Andi likes school like ants love salt.,Andi likes school.,Andy hates school.,1,1,id,correct
5268,5268,732,Anette has hands as smooth as gravel,Anette has very soft hands,Anette has very hard hands,1,1,sw,correct
5267,5267,731,Anette has soft hands like a pillow,Anette has very soft hands,Anette has very hard hands,0,0,sw,correct
5558,5558,198,Angelina looked at us with cupped eyes,Angelina looked at us with interesting eyes,Angelina looked at us with hateful eyes,1,0,sw,wrong
5169,5169,633,Angelina looked at us with frog eyes,Angelina looked at us with interesting eyes,Angelina looked at us with hateful eyes,1,1,sw,correct
46,46,46,The expression on his face was like that of the moon.,Anger was clearly visible on his face.,Patience was clearly visible on his face.,1,1,hi,correct
682,682,14,The expression on his face was like the sun.,Anger was clearly visible on his face.,Patience was clearly visible on his face.,1,0,hi,wrong
2492,2492,354,Ani's heart is like the width of an alley,Ani's heart is wide,Ani's heart is narrow,1,1,jv,correct
2491,2491,353,Ani's heart is as wide as the sky,Ani's heart is wide,Ani's heart is narrow,0,0,jv,correct
1626,1626,628,Anton treats his mother like a queen.,Anton treated his mother badly.,Anton treated his mother well.,1,1,id,correct
2062,2062,180,Anton treats his mother like a Malin Kundang fairy tale.,Anton treated his mother badly.,Anton treated his mother well.,1,0,id,wrong
1597,1597,599,Anton worked like a buffalo plowing the fields.,Anton worked hard.,Anton is lazy to work.,0,0,id,correct
1598,1598,600,Anton works like a bear in winter.,Anton worked hard.,Anton is lazy to work.,1,1,id,correct
5295,5295,759,Antony's deep well is a hut,Antony has a very big Boma,These Antonys have a large enclosure,1,1,sw,correct
5294,5294,758,Antony deep well is an airport,Antony has a very big Boma,These Antonys have a large enclosure,0,0,sw,correct
5601,5601,241,Antony was raised to be a tick to others,Antony was raised to depend on others,Antony was raised not to depend on others,1,0,sw,wrong
5298,5298,762,Antony was raised to be strong like a lion,Antony was raised to depend on others,Antony was raised not to depend on others,1,1,sw,correct
2344,2344,206,It looked like the noon sun yesterday,Apparently it was dark yesterday,Looks like yesterday,1,1,jv,correct
2343,2343,205,It looks like it was dark last night,Apparently it was dark yesterday,Looks like yesterday,0,0,jv,correct
3825,3825,335,The app has seen success like WeChat,Application is successful,Application not successful,0,1,kn,wrong
3279,3279,541,The app has become as successful as YouTube,Application is successful,Application not successful,0,0,kn,correct
1849,1849,851,Ara is known as a girl who looks like a rabbit.,Ara is known as a chatty girl.,Ara is known as a quiet girl.,1,1,id,correct
2123,2123,241,Ara is known as a girl who looks like a parrot.,Ara is known as a chatty girl.,Ara is known as a quiet girl.,1,0,id,wrong
1810,1810,812,Ara's character is like an attached grandmother.,Ara's evil nature.,Ara's character is good.,0,0,id,correct
1811,1811,813,Ara's nature is like a fairy godmother.,Ara's evil nature.,Ara's character is good.,1,1,id,correct
2775,2775,37,Arab countries are rich from petroleum.,Arab countries are rich from petroleum,Arab countries are not rich from petroleum,0,0,kn,correct
