,Unnamed: 0.1,Unnamed: 0,prompt,opt1,opt2,pred,act,lang,label,cos_sim
28,28,28,जीवन एक राष्ट्रीय राजमार्ग है।,जीवन बहुत छोटा होता है।,जीवन बहुत लम्बा होता है।,1,1,hi,correct,0.8677534461021423
29,29,29,उसकी आँखें हीरे की थीं।,वह उसकी काबलियत समझ नहीं सका।,वह उसकी काबलियत समझ सका।,1,1,hi,correct,0.8754439353942871
30,30,30,वह एक डूबता सितारा है।,उसकी किस्मत अच्छी नहीं थी।,उसकी किस्मत बहुत अच्छी थी।,0,0,hi,correct,0.8528323173522949
31,31,31,वह एक चमकता सितारा है।,उसकी किस्मत अच्छी नहीं थी।,उसकी किस्मत बहुत अच्छी थी।,1,1,hi,correct,0.8528323173522949
32,32,32,उसका दामन काले कम्बल की तरह है।,वह चरित्रहीन है।,वो मासूम है।,0,0,hi,correct,0.7568128705024719
33,33,33,उसका दामन सफ़ेद चादर की तरह है।,वह चरित्रहीन है।,वो मासूम है।,1,1,hi,correct,0.7568128705024719
34,34,34,उसकी नज़रें चिड़िया की तरह हैं।,उसकी सोच छोटी है।,वह दूर की सोचता है।,0,0,hi,correct,0.6577804088592529
35,35,35,उसकी नज़रें चील की तरह हैं।,उसकी सोच छोटी है।,वह दूर की सोचता है।,1,1,hi,correct,0.6577804088592529
36,36,36,वह शेर की तरह दहाड़ता है।,वह कमजोर है।,वह बहादुर है।,1,1,hi,correct,0.7053719758987427
37,37,37,उसकी काया पहाड़ जैसी है।,उसका शरीर छोटा है।,उसका शरीर विशाल है।,1,1,hi,correct,0.8428543210029602
38,38,38,बैल की तरह मजबूत है।,वह कोमल है।,वह सख्त है।,1,1,hi,correct,0.7016800045967102
39,39,39,वह आदमी उबले पानी जैसा व्यवहार कर रहा था।,वह आदमी बहुत मस्त था।,वह आदमी बहुत गुस्सैल था।,1,1,hi,correct,0.9314112663269044
40,40,40,एक परी जितनी कीमती है।,बहुत सुनदर है।,बहुत बदसूरत है।,0,0,hi,correct,0.7111192941665649
41,41,41,रामदीन की चेहरा कोयले की तरह है।,रामदीन बहुत कला है।,रामदीन बहुत गोरा है।,0,0,hi,correct,0.7930015921592712
42,42,42,उसका मन रेत की तरह ठंडा था।,वह बहुत शांत सुभाव का था।,वह थोड़ी देर के लिए शांत था।,1,1,hi,correct,0.7153652906417847
43,43,43,विराट कछुए की तरह चुस्त है।,विराट सुस्त है।,विराट तेज है।,0,0,hi,correct,0.7952061891555786
44,44,44,विराट चीते की तरह चुस्त है।,विराट सुस्त है।,विराट तेज है।,1,1,hi,correct,0.7952061891555786
45,45,45,महेश दुकान लोमड़ी की तरह चलाता है।,महेश शराफत से दूकान चलाता है।,महेश धोकेबाजी से दूकान चलाता है।,1,1,hi,correct,0.91147381067276
46,46,46,उसके चेहरे पर अभिव्यक्ति चाँद की तरह थी।,उसके चहरे पर गुस्सा साफ नज़र आ रहा था।,उसके चहरे पर धैर्य साफ़ नज़र आ रहा था।,1,1,hi,correct,0.8259862661361694
47,47,47,मेरी पत्नी सुबह के समय घोंघे की तरह व्यस्त रहती है।,मेरी पत्नी काम में बहुत आलसी है।,मेरी पत्नी काम में बहुत तेज है।,0,0,hi,correct,0.9250507950782776
48,48,48,मेरी पत्नी सुबह के समय मधुमक्खी की तरह व्यस्त रहती है।,मेरी पत्नी काम में बहुत आलसी है।,मेरी पत्नी काम में बहुत तेज है।,1,1,hi,correct,0.9250507950782776
49,49,49,नौकरानी ने हॉल सफ़ेद चादर सा साफ है।,नौकरानी ने सब अच्छे से साफ़ किया।,नौकरानी ने सब अच्छे से साफ़ नहीं किया।,0,0,hi,correct,0.8857290744781494
50,50,50,तुम्हार कोट तो घास की तरह है।,तुम्हार कोट बहुत अच्छा नहीं है।,तुम्हार कोट बहुत अच्छा है।,0,0,hi,correct,0.8641201257705688
51,51,51,तुम्हार कोट तो मखमल की तरह है।,तुम्हार कोट बहुत अच्छा नहीं है।,तुम्हार कोट बहुत अच्छा है।,1,1,hi,correct,0.8641201257705688
52,52,52,राकेश की दिमाग उस्तरे सा तेज है।,राकेश का दिम्माग बहुत धीमा है।,राकेश का दिम्माग बहुत तेज़ है।,1,1,hi,correct,0.9200881719589232
53,53,53,उसकी आवाज फटे बांस की तरह है।,उसकी आवाज बहुत बुरी है।,उसकी आवाज बहुत मधुर है।,0,0,hi,correct,0.8358555436134338
54,54,54,काम के मिलते ही उसका चहरा रौशनी सा सफेद हो गया।,वह काम करके खुश होता है।,वह काम करने से कतराता है।,0,0,hi,correct,0.7666518092155457
55,55,55,काम के मिलते ही उसका चहरा भूत सा सफेद हो गया।,वह काम करके खुश होता है।,वह काम करने से कतराता है।,1,1,hi,correct,0.7666518092155457
56,56,56,हार्दिक उगते चाँद की तरह ताजा है।,वह बहुत चुस्त है।,वह बहुत थका हुआ है।,0,0,hi,correct,0.7525649070739746
57,57,57,लेक्चर लेते समय वह बोर्ड की तरह खड़ा था।,वह विश्वास से भरा हुआ था।,वह बहुत घबराया हुआ था।,1,1,hi,correct,0.6134657859802246
58,58,58,पोस्टिंग की खबर सुन वह मोर की तरह नाचने लगा।,पोस्टिंग की खबर से वो बहुत दुखी हुआ।,पोस्टिंग की खबर से वो बहुत खुश हुआ।,1,1,hi,correct,0.914106011390686
59,59,59,उसके द्वारा दिया गया प्रोत्साहन एक बुलडोजर के समान था। ,उसके द्वारा दिया प्रोत्साहन बहुत असरदार था। ,उसके द्वारा दिया प्रोत्साहन कुछ असरदार नहीं था। ,0,0,hi,correct,0.8536625504493713
60,60,60,उसके द्वारा दिया गया प्रोत्साहन एक हवा के झोंके के समान था। ,उसके द्वारा दिया प्रोत्साहन बहुत असरदार था। ,उसके द्वारा दिया प्रोत्साहन कुछ असरदार नहीं था। ,1,1,hi,correct,0.8536625504493713
61,61,61,किशोर एक मेमने की तरह है।,किशोर बहुत मासूम है।,किशोर बहुत चलाक है।,0,0,hi,correct,0.9232498407363892
62,62,62,किशोर एक भेड़िये की तरह है।,किशोर बहुत मासूम है।,किशोर बहुत चलाक है।,1,1,hi,correct,0.9232498407363892
63,63,63,वह एक आग की तरह चमकीली लगती है!,वह बहुत कठोर दिल की लगती है।,वह बहुत कोमल दिल की लगती है।,0,0,hi,correct,0.8725367784500122
64,64,64,वह एक हीरे की तरह चमकीली लगती है!,वह बहुत कठोर दिल की लगती है।,वह बहुत कोमल दिल की लगती है।,1,1,hi,correct,0.8725367784500122
65,65,65,वह बॉक्सर बच्चे की तरह मजबूत है।,वह बॉक्सर कमजोर है।,वह बॉक्सर बहुत ताकतवर है।,0,0,hi,correct,0.8168675899505615
66,66,66,वह बॉक्सर भीम की तरह मजबूत है।,वह बॉक्सर कमजोर है।,वह बॉक्सर बहुत ताकतवर है।,1,1,hi,correct,0.8168675899505615
67,67,67,मेरा जीवन स्वर्ग के समान है।,मेरा जीवन सुखों से भरा है।,मेरा जीवन दुखों से भरा है।,0,0,hi,correct,0.8828980922698975
68,68,68,मेरा जीवन नर्क के समान है।,मेरा जीवन सुखों से भरा है।,मेरा जीवन दुखों से भरा है।,1,1,hi,correct,0.8828980922698975
69,69,69,साहूकार का दिल मगरमछ के चमड़े की तरह है।,साहूकार बहुत निर्दयी है।,साहूकार बहुत दयालु है।,0,0,hi,correct,0.9643646478652954
70,70,70,राधा को पाना अमरुद को तोड़ लाने की तरह आसान है।,राधा को पाना बहुत आसान है।,राधा को पाना बहुत मुश्किल है।,0,0,hi,correct,0.9102506637573242
71,71,71,वह अभी अभी दुल्हन बनी महिला की तरह खुश है। ,वह सच में बहुत खुश है। ,वह असल में बहुत दुखी है। ,0,0,hi,correct,0.8409695029258728
72,72,72,वह अभी अभी विधवा बनी महिला की तरह खुश है। ,वह सच में बहुत खुश है। ,वह असल में बहुत दुखी है। ,1,1,hi,correct,0.8409695029258728
73,73,73,राज साँप की तरह सीधा है।,राज बहुत टेढ़ा आदमी है।,राज बहुत सीधा आदमी है।,0,0,hi,correct,0.9201093912124634
74,74,74,राज पेंसिल की तरह सीधा है।,राज बहुत टेढ़ा आदमी है।,राज बहुत सीधा आदमी है।,1,1,hi,correct,0.9201093912124634
75,75,75,नाटक में एक खाई सी गहराई है। ,नाटक में बहुत गहरा अर्थ दर्शाया गया है।,नाटक में बस ऊपरी दिखावा दर्शाया गया है।,1,1,hi,correct,0.6457874774932861
76,76,76,कोमल चील जितनी बुद्धिमान है।,कोमल बहुत बुद्धिमान है।,कोमल बहुत बेवक़ूफ़ है।,0,0,hi,correct,0.8178475499153137
77,77,77,नदी का पानी कीचड की तरह साफ है।,नदी का पानी बहुत ज्यादा गंदा है।,नदी का पानी बहुत ज्यादा स्वच्छ है।,0,0,hi,correct,0.9203194975852966
78,78,78,नदी का पानी क्रिस्टल की तरह साफ है।,नदी का पानी बहुत ज्यादा गंदा है।,नदी का पानी बहुत ज्यादा स्वच्छ है।,1,1,hi,correct,0.9203194975852966
79,79,79,उसकी वाणी रेशम सी कोमल है।,उसकी वाणी बहुत कर्कश है।,उसकी वाणी बहुत मधुर है।,1,1,hi,correct,0.9108645915985109
80,80,80,उसके शब्दों में टाइटेनियम सी ताकत है।,उसके वादों पर विश्वास किया जा सकता है।,उसके वादों पर भरोसा नहीं किया जा सकता है।,0,0,hi,correct,0.9021408557891846
81,81,81,उनके चुंबन में प्रेमियों के विवाह सा जुनून है।,उनके चुंबन प्रदर्शनकारी और तीव्र हैं।,उनका चुंबन भावहीन है।,0,0,hi,correct,0.6343362927436829
82,82,82,यह सर्दी उतनी ही ठंडी है जितनी मेरी सास मेरे प्रति।,बहुत ठंड है। ,बहुत गरमी है। ,0,0,hi,correct,0.8143743276596069
83,83,83,कुत्ता एक बूढ़े आदमी की तरह क्रोधित था। ,वह बहुत गुस्से में था। ,वह बहुत अच्छा था। ,0,0,hi,correct,0.6758933067321777
84,84,84,यात्रा जीवन भर जितनी लंबी थी। ,यात्रा बहुत लंबी थी,यात्रा बहुत छोटी थी।,0,0,hi,correct,0.8191255331039429
85,85,85,यात्रा पलक झपकने जितनी लंबी थी। ,यात्रा बहुत लंबी थी,यात्रा बहुत छोटी थी।,1,1,hi,correct,0.8191255331039429
86,86,86,उनके पास एक राजा की सम्पति है। ,वह अमीर है। ,वह गरीब है। ,0,0,hi,correct,0.7765937447547913
87,87,87,उनके पास एक भिखारी की सम्पति है। ,वह अमीर है। ,वह गरीब है। ,1,1,hi,correct,0.7765937447547913
88,88,88,इससे नदी किनारे की ठंडी महक आ रही है। ,यह बहुत खुशबूदार है। ,यह बहुत बदबूदार है। ,0,0,hi,correct,0.8907458782196045
89,89,89,इससे नाले के पास की गंदी महक आ रही है। ,यह बहुत खुशबूदार है। ,यह बहुत बदबूदार है। ,1,1,hi,correct,0.8907458782196045
90,90,90,वार्तालाप एक बैंक की तिजोरी की तरह होती है। ,बातचीत सार्थक है।,वार्तालाप व्यर्थ है।,0,0,hi,correct,0.8301156759262085
91,91,91,वार्तालाप एक मुफ्त के कूपन की तरह होती है। ,बातचीत सार्थक है।,वार्तालाप व्यर्थ है।,1,1,hi,correct,0.8301156759262085
92,92,92,रोहन ने संजय का चेहरा तरबूज की तरह कर दिया।  ,रोहन ने संजय का चेहरा मार मार के चपटा कर दिया।  ,रोहन ने संजय का चेहरा मार मार के सूजा दिया।  ,0,0,hi,correct,0.9911763668060304
93,93,93,ज्यादा पैसा एक दोस्त कि तरह होता है। ,ज्यादा पैसा अच्छा होता है। ,ज्यादा पैसा बुरा होता है। ,0,0,hi,correct,0.8643248677253723
94,94,94,ज्यादा पैसा एकदुश्मन कि तरह होता है। ,ज्यादा पैसा अच्छा होता है। ,ज्यादा पैसा बुरा होता है। ,1,1,hi,correct,0.8643248677253723
95,95,95,उसके साथ बातचीत रामायण की तरह थी। ,बातचीत अच्छी थी। ,बातचीत बुरी थी। ,0,0,hi,correct,0.8480328917503357
96,96,96,उसके साथ बातचीत महाभारत की तरह थी। ,बातचीत अच्छी थी। ,बातचीत अच्छी थी। ,1,1,hi,correct,1.0
97,97,97,पिछली समुद्र यात्रा मक्खन की तरह निकली।  ,पिछली समुद्र यात्रा बहुत आसान थी।  ,पिछली समुद्र यात्रा बहुत मुश्किल थी।  ,0,0,hi,correct,0.9159560799598694
98,98,98,पिछली समुद्र यात्रा पहाड़ी रास्ते की तरह निकली।  ,पिछली समुद्र यात्रा बहुत आसान थी।  ,पिछली समुद्र यात्रा बहुत मुश्किल थी।  ,1,1,hi,correct,0.9159560799598694
99,99,99,स्कूल के छात्र ने दवा की तरह मदद की। ,छात्र ने लम्बी राहत पहुँचाई। ,छात्र ने बस कुछ पल की राहत पहुँचाई। ,0,0,hi,correct,0.8160861730575562
100,100,100,स्कूल के छात्र ने शराब की तरह मदद की। ,छात्र ने लम्बी राहत पहुँचाई। ,छात्र ने बस कुछ पल की राहत पहुँचाई। ,1,1,hi,correct,0.8160861730575562
101,101,101,इन दोनों का रिश्ता कश्मीर की ठंडी बर्फ जैसा है। ,उनके रिश्ता में कोई प्यार नहीं। ,उनके रिश्ता में प्यार की गर्माहट है। ,0,0,hi,correct,0.8314850926399231
102,102,102,यात्रा में सफ़र आग में चलने जैसा होगा।,यात्रा बहुत कठिन होगी।,यात्रा बहुत सुहावनी होगी।,0,0,hi,correct,0.8800525665283203
103,103,103,यात्रा में सफ़र फूलों में चलने जैसा होगा।,यात्रा बहुत कठिन होगी।,यात्रा बहुत सुहावनी होगी।,1,1,hi,correct,0.8800525665283203
104,104,104,उसके लिए पैसा कमाना ऑक्सीजन था।,पैसे कमाने ने उसे जीवित रखा।,पैसा कमाना उसे मार रहा था।,0,0,hi,correct,0.749259889125824
105,105,105,उसके लिए पैसा कमाना गले का फंदा था।,पैसे कमाने ने उसे जीवित रखा।,पैसा कमाना उसे मार रहा था।,1,1,hi,correct,0.749259889125824
106,106,106,वह वक्ता किसी तूफ़ान की तरह बोल रहा था।,वक्ता बहुत शांत था।,वक्ता बहुत जोश में था। ,1,1,hi,correct,0.8253056406974792
107,107,107,कोमल के गाल आग की तरह खिल ऊठे।,कोमल को बहुत गुस्सा आया। ,कोमल शर्मा गई। ,0,0,hi,correct,0.6253176331520081
108,108,108,कोमल के गाल गुलाब की तरह खिल ऊठे। ,कोमल को बहुत गुस्सा आया। ,कोमल शर्मा गई। ,1,1,hi,correct,0.6253176331520081
109,109,109,वह ट्रिप प्लानर धोकेबाज़ था।,ट्रिप प्लानर ने सारा ट्रिप बर्बाद कर दिया। ,ट्रिप प्लानर ने सारा ट्रिप शानदार बना दिया। ,0,0,hi,correct,0.8693510293960571
110,110,110,वह ट्रिप प्लानर जादूगर था।,ट्रिप प्लानर ने सारा ट्रिप बर्बाद कर दिया। ,ट्रिप प्लानर ने सारा ट्रिप शानदार बना दिया।,1,1,hi,correct,0.8693510293960571
111,111,111,नर्तकी हाथी की तरह नाची। ,नर्तकी का नाच बहुत सुंदर था। ,नर्तकी का नाच बहुत बकवास था। ,1,1,hi,correct,0.8843449354171753
112,112,112,बर्गर में माँ के हाथो सा स्वाद है। ,बर्गर बहुत स्वादिष्ट है। ,बर्गर बहुत बेस्वाद है। ,0,0,hi,correct,0.8354527950286865
113,113,113,बर्गर में धोबी के हाथो सा स्वाद है। ,बर्गर बहुत स्वादिष्ट है। ,बर्गर बहुत बेस्वाद है। ,1,1,hi,correct,0.8354527950286865
114,114,114,तस्वीर में ज़िन्दगी की चाहत थी।,तस्वीर में ख़ुशी झलक रही थी। ,तस्वीर में दुखों की झलक थी। ,0,0,hi,correct,0.8124227523803711
115,115,115,तस्वीर में मौत की चाहत थी।,तस्वीर में ख़ुशी झलक रही थी। ,तस्वीर में दुखों की झलक थी। ,1,1,hi,correct,0.8124227523803711
116,116,116,बच्चा एक पुजारी की तरह धार्मिक था। ,बच्चा बहुत धार्मिक था। ,बच्चा बिलकुल भी धार्मिक नहीं था। ,0,0,hi,correct,0.8640177845954895
117,117,117,बच्चा एक राक्षस की तरह धार्मिक था। ,बच्चा बहुत धार्मिक था। ,बच्चा बिलकुल भी धार्मिक नहीं था। ,1,1,hi,correct,0.8640177845954895
118,118,118,महिला एक शिक्षक की तरह दयालु थी। ,महिला दयालु थी। ,महिला क्रूर थी। ,0,0,hi,correct,0.878394603729248
119,119,119,महिला एक कैदी की तरह दयालु थी। ,महिला दयालु थी। ,महिला क्रूर थी। ,1,1,hi,correct,0.878394603729248
120,120,120,परीक्षा चाय बनाने जितनी आसान थी। ,परीक्षा आसान थी। ,परीक्षा कठिन थी। ,0,0,hi,correct,0.873997151851654
121,121,121,खिलाड़ियों को सोने की तरह होना चाहिए। ,खिलाड़ियों को अभ्यास की जरुरत नहीं होनी चाहिए। ,खिलाड़ियों को सख्त अभ्यास की जरुरत होती है। ,0,0,hi,correct,0.8133742809295654
122,122,122,खिलाड़ियों को हीरे की तरह होना चाहिए। ,खिलाड़ियों को अभ्यास की जरुरत नहीं होनी चाहिए। ,खिलाड़ियों को सख्त अभ्यास की जरुरत होती है। ,1,1,hi,correct,0.8133742809295654
123,123,123,मास्टर जी मीठे पानी की तरह पढ़ाते हैं। ,मास्टर जी प्यार से पढ़ाते हैं। ,मास्टर जी गुस्से से पढ़ाते हैं। ,0,0,hi,correct,0.797822117805481
124,124,124,मास्टर जी कड़वे पानी की तरह पढ़ाते हैं। ,मास्टर जी प्यार से पढ़ाते हैं। ,मास्टर जी गुस्से से पढ़ाते हैं। ,1,1,hi,correct,0.797822117805481
125,125,125,होटल का बिस्तर फट्टे की तरह था। ,होटल का बिस्तर नरम था।,होटल का बिस्तर सख्त था।,1,1,hi,correct,0.8906505107879639
126,126,126,जीवन शांत झील के पानी सा बहता है। ,जीवन आसानी से व्यतीत हो जाता है। ,जीवन मुश्किलों से भरा होता है। ,0,0,hi,correct,0.7522785067558289
127,127,127,नाटक के कलाकार जैसे चूहे बिल्ली का खेल रहे थे। ,नाटक के कलाकारों का प्रदर्शन बहुत ख़राब था। ,नाटक के कलाकारों का प्रदर्शन बहुत अच्छा था।,0,0,hi,correct,0.9300453662872314
128,128,128,लड़की का व्यक्तित्व गुलाब जामुन की तरह मीठा था,लड़की का व्यक्तित्व बहुत ही असभ्य था।,लड़की का व्यक्तित्व प्यारा था।,1,1,hi,correct,0.8560195565223694
129,129,129,फिल्म में गुरु की सिखलाई थी। ,फिल्म अच्छाई से भरी थी। ,फिल्म बुराई से भरी थी। ,0,0,hi,correct,0.8880558013916016
130,130,130,फिल्म में शैतान की सिखलाई थी। ,फिल्म अच्छाई से भरी थी। ,फिल्म बुराई से भरी थी।,1,1,hi,correct,0.8880558013916016
131,131,131,बाँसुरी की आवाज़ रेशम की तरह चिकनी थी। ,बाँसुरी की आवाज़ बहुत मधुर थी। ,बाँसुरी की आवाज़ बहुत बेसुरी थी।,0,0,hi,correct,0.9106542468070984
132,132,132,नशे ने उसे मौत का अहसास करवाया। ,नशे से उसे दुःख का अहसास हुआ। ,नशे से उसे ख़ुशी का अहसास हुआ। ,0,0,hi,correct,0.8750125765800476
133,133,133,नशे ने उसे ज़िन्दगी का अहसास करवाया। ,नशे से उसे दुःख का अहसास हुआ। ,नशे से उसे ख़ुशी का अहसास हुआ।,1,1,hi,correct,0.8750125765800476
134,134,134,उसका दिल फूटबाल के मैदान की तरह विशाल था।,दिल बहुत बड़ा था। ,दिल बहुत छोटा था। ,0,0,hi,correct,0.8964719176292419
135,135,135,उसके पैरों में घोड़े सी तेजी थी। ,वह बहुत तेज़ दौड़ता था। ,वह बहुत तेज़ नहीं दौड़ता था। ,0,0,hi,correct,0.8438645005226135
136,136,136,स्ट्रीट लाईट की रौशनी सूर्य सी तेज थी। ,स्ट्रीट लाईट की रौशनी बहुत जयादा थी। ,स्ट्रीट लाईट की रौशनी बहुत थोड़ी थी। ,0,0,hi,correct,0.9387624859809875
137,137,137,होटल में एक आदमी के पर्स सी जगह थी। ,होटल में बहुत कम जगह थी।,होटल में बहुत ज्यादा जगह थी।,0,0,hi,correct,0.9133009314537048
138,138,138,डॉक्टर राम की तरह अपने मरीज को देखता है। ,डॉक्टर मरीजों के साथ अच्छा व्यहवार करता है।,डॉक्टर मरीजों के साथ अच्छा व्यहवार नहीं करता है।,0,0,hi,correct,0.9218860268592834
139,139,139,डॉक्टर रावण की तरह अपने मरीज को देखता है। ,डॉक्टर मरीजों के साथ अच्छा व्यहवार करता है।,डॉक्टर मरीजों के साथ अच्छा व्यहवार नहीं करता है।,1,1,hi,correct,0.9218860268592834
140,140,140,कमरे में कांच की बॉटल के टूटने की आवाज़ परमाणु बम की तरह थी। ,बोतल टूटने की आवाज बहुत ज्यादा थी। ,बोतल टूटने की आवाज बहुत काम थी।,0,0,hi,correct,0.917705535888672
141,141,141,कमरे में कांच की बॉटल के टूटने की आवाज़ सुतली बम की तरह थी। ,बोतल टूटने की आवाज बहुत ज्यादा थी। ,बोतल टूटने की आवाज बहुत काम थी।,1,1,hi,correct,0.917705535888672
142,142,142,डॉक्टर ने रात का खाना एक हाथी की तरह खाने को कहा है। ,डॉक्टर ने बहुत रात को बहुत काम खाने को कहा है।,डॉक्टर ने बहुत रात को बहुत ज्यादा खाने को कहा है।,1,1,hi,correct,0.9518495202064514
143,143,143,कवच लोहे की तरह सख्त था। ,कवच बहुत मजबूत था। ,कवच बहुत कमजोर था। ,0,0,hi,correct,0.8976273536682129
144,144,144,वह अपने खिलौने की देखभाल एक जंगली शेर की तरह करता है।,वह अपने खिलौने का बिलकुल ख्याल नहीं रखता है।  ,वह अपने खिलौने का बहुत ख्याल रखता है।  ,0,0,hi,correct,0.8974948525428772
145,145,145,वकील ने समझौते की बात एक औरत के दूकानदार से मोलभाव की तरह की। ,वकील ने समझौते की बात विस्तार से और अच्छे की।,वकील ने समझौते की बात छोटी और बुरी की।,1,1,hi,correct,0.8128947615623474
146,146,146,शीशे का जग टूट के मकड़ी के जाल सा बिखर गया। ,शीशे के जग के बहुत सारे टुकड़े हो गए। ,शीशे के जग के दो टुकड़े हो गए।,0,0,hi,correct,0.7876415848731995
147,147,147,शहर की नयी इमारत एवरेस्ट की चोटी की तरह थी। ,शहर की नयी इमारत बहुत विशाल थी। ,शहर की नयी इमारत बहुत छोटी थी। ,0,0,hi,correct,0.9341878294944764
148,148,148,शहर की नयी इमारत चिड़िया के घोंसले की तरह थी। ,शहर की नयी इमारत बहुत विशाल थी। ,शहर की नयी इमारत बहुत छोटी थी।,1,1,hi,correct,0.9341878294944764
149,149,149,रोशन में देवताओं सी विशेषता थी। ,रोशन बहुत अच्छा इंसान था। ,रोशन बहुत गंदा इंसान था।,0,0,hi,correct,0.8836285471916199
150,150,150,रोशन में दानव सी विशेषता थी।,रोशन बहुत अच्छा इंसान था।,रोशन बहुत गंदा इंसान था।,1,1,hi,correct,0.8836285471916199
151,151,151,ऋषभ लोमड़ी सा चलाक था। ,ऋषभ बहुत ज्यादा चलाक था।,ऋषभ बहुत ज्यादा भोला था।,0,0,hi,correct,0.9433051347732544
