labels,z
0,a lawn
1,me
0,a bed
1,a bed
0,electrocuted
1,no electricity
0,gunpowder
1,he
0,that
1,parliament
0,a headache
1,soft
0,coals
1,self - harm
0,mouse paths
1,drunk flag water
0,swim
1,the water
0,you
1,you
0,line
1,his things
0,practice
1,practice
0,you
1,siafu
0,trouble
1,we
0,a vegetable
1,a fox
0,she
1,he
0,stubborn
1,a light head
0,these things
1,sealed
0,strong cotton
1,rags
0,thorns
1,just a slip
0,my son
1,my son
0,the road
1,the road
0,hyenas
1,hyenas
0,a horse
1,a turtle
0,a feather
1,a rock
0,a magnet
1,a hurricane
0,a chicken
1,a leopard
0,all the properties
1,property
0,charcoal
1,snow
0,silky
1,a frog
0,a mule
1,a mule
0,an owl
1,a bat
0,the water of the tunnel
1,bullet speed
0,the earth and the sky
1,underwear and socks
0,a goat 's ear
1,an elephant
0,the banyan 's grave
1,the banyan 's grave
0,honey
1,a sermon
0,an animal
1,an angel
0,a butterfly
1,local
0,paradise
1,hell
0,big
1,small
0,a problem
1,pleasure
0,it
1,him
0,young
1,a veteran
0,a lion
1,a turtle
0,my star
1,my darkness
0,a wedding
1,the sails
0,a white chicken
1,a black chicken
0,a rabbit
1,a sheep
0,a giraffe
1,a gnome
0,the brother
1,public
0,a leopard
1,a turtle
0,rats among us
1,cotton
0,medicine
1,poison
0,a prison
1,paradise
0,gold
1,a hyena
0,a knife
1,cotton
0,flowers
1,mucus
0,a peacock
1,a chicken
0,horses
1,a chameleon
0,refrigerator water
1,hell
0,a jar
1,a rabbit
0,my rock
1,my rock
0,a crocodile
1,paper
0,their family
1,their family
0,rocks
1,paper
0,coal white
1,clear
0,the river
1,the river
0,an eternal dream
1,good health
0,life
1,life
0,the world
1,the world
0,his mouth
1,his mouth
0,him
1,him
0,his body
1,his body
0,his chest
1,his chest
0,his eyes
1,his eyes
0,blue wells
1,blue wells
0,fresh fruit
1,silent
0,violence
1,violence
0,my ears
1,my ears
0,sapphire blue
1,blue
0,a safe harbor
1,safe harbors
0,a crazy mother
1,a crazy mother
0,olive branches
1,ants
0,silk
1,silk
0,balm
1,sweet
0,steel
1,light nerves
0,the sky
1,the sky
0,chaos
1,chaos
0,tired
1,shines
0,love
1,little
0,white mountains
1,white mountains
0,electricity
1,dry land
0,crumbs
1,poor
0,my comforter
1,my sorrow
0,chicken milk
1,chicken milk
0,a necklace and a ring
1,a thief
0,a needle
1,a rhinoceros
0,coal
1,snow
0,the army
1,quiet
0,single
1,bald
0,a monkey
1,a pigeon
0,a slave
1,a slave
0,a hyena
1,a hyena
0,a pigeon
1,a pigeon
0,an ant
1,a chameleon
0,a rhinoceros
1,a rhinoceros
0,a tick
1,a tick
0,abunuasi
1,abunuasi
0,chiriku
1,chiriku
0,a grave
1,a club
0,the afternoon
1,dark
0,a child
1,the exam
0,the money
1,a palm tree
0,the glue
1,wet
0,spiritual
1,waste
0,honey
1,husks
0,patience
1,honey
0,coal
1,a feather
0,hell
1,a needle
0,a philanthropist
1,a fisherman
0,a parrot
1,a parrot
0,eagles
1,owls
0,thunder
1,thunder
0,a chameleon
1,a slave
0,a long time dragon
1,a flower
0,home
1,home
0,an angel
1,an elephant
0,a buffalo
1,a unicorn
0,a dog
1,a dog at all
0,a coward
1,a coward
0,a star
1,a star
0,an early bird
1,an early bird
0,a highway
1,a highway
0,a bone
1,a bone
0,a good shepherd
1,a good shepherd
0,battle
1,war
0,a star
1,a dream
0,a big forest
1,an open book
0,she
1,she
0,a long awaited rain
1,a nightmare
0,medicine
1,poison
0,chiruki
1,a jar
0,a good Samaritan
1,a fox
0,the setting sun
1,an accident
0,gold
1,stone
0,a free bird
1,a prison
0,he
1,he
0,a whisper
1,a thunder storm
0,poverty
1,a blue
0,a cheetah
1,a turtle
0,ice cold
1,hell
0,a giraffe
1,a hammer
0,a king
1,the veil
0,the park
1,my shoulders
0,the gospel
1,the campaign
0,sunshine
1,paint
0,Musa
1,Adam and Eve
0,a lion
1,a chicken
0,gold
1,a bad egg
0,king Solomon
1,a church mouse
0,the exam
1,the exam
0,a razor
1,the knife
0,fine wine
1,a battlefield
0,the soul
1,a great enemy
0,a peacock
1,a young man caught running away from home
0,a rabbit
1,a sheep
0,a lioness
1,a lamb
0,an angel
1,the devil
0,an ant
1,the bottom of the well
0,a bright afternoon
1,mathematics
0,a slave
1,a hungry baby
0,clove ointment
1,a sore
0,my eye
1,poison
0,a star
1,a crescent moon
0,the beginning of the day
1,the mountains
0,a ring and a ring
1,that of a dog and a cat
0,a flute
1,a pig
0,a pigeon
1,a crocodile
0,glass
1,dark
0,the sea
1,a snot
0,a spring
1,the Kalahari
0,an apostle
1,Judas Iscariot
0,that
1,my soul
0,death
1,a volcano
0,a bird in the spring
1,a bull with a scarf on his face
0,early summer
1,a whirlwind
0,a pod
1,winter and summer
0,a party
1,a battlefield
0,dogs
1,rats
0,perfume
1,trash
0,stars
1,a weekday church
0,thorns
1,roses
0,a storm
1,a kitten
0,a zoo
1,a forgotten song
0,a breeze
1,an empty sack standing upright
0,the cry of a child being born
1,death
0,the sun
1,winter rain
0,a hyena
1,a rat
0,a dish
1,the grass
0,the fields of Heaven
1,a drama queen
0,the world
1,the waves of the sea
0,a cow
1,a trigger
0,the sun and the moon
1,a wedding without a groom
0,a mother 's voice
1,death
0,wax
1,a bear
0,a shooting star
1,the streets of Boston
0,a gorilla
1,an egg
0,a feather
1,an anchor
0,a new pin
1,a pig
0,honey
1,lemons
0,wax
1,a bear
0,an abandoned ship
1,a movie star
0,an iron belt
1,a bay
0,a lily
1,oak bark
0,the tongue and the teeth
1,water and oil
0,Teeth
1,bereaved
0,silk
1,stone
0,elephants
1,old ladies
0,sunshine
1,feathers on fish
0,a place like a king 's palace
1,a place like a prison
0,paradise
1,he
0,a ruler
1,fish taken out of water
0,a bird in the sky
1,Israelites
0,a pigeon
1,a rooster
0,the farmer
1,sarcastic
0,medicine for the patient
1,a drug
0,Moses
1,Pharaoh
0,a trunk
1,an owl
0,a bundle of notes
1,a penny
0,a king
1,a thorn
0,her son
1,Jesus
0,the sea
1,a needle hole
0,an elephant
1,a thread
0,a smile
1,a riddle
0,a cheetah
1,a turtle
0,snow
1,charcoal
0,a bear trap
1,quick money to tell lies
0,a rose
1,an itch
0,the sun
1,winter rain
0,weeds in a neglected grave
1,a snail coming out of its shell
0,a lion
1,a maid
0,a flame
1,a tomb
0,a star
1,a clock
0,the breath of a small wind
1,a volcanic eruption
0,a pillar
1,an eye looking at the sun
0,a guardian angel
1,a seed that fell on stones
0,salty
1,a coal pit
0,a bell and its ringing
1,fire and water
0,a snake
1,a fossil fact
0,a virgin 's vows
1,other men
0,Sunday shoes
1,pure gold for the circuit
0,just as respectful
1,they
0,a lion
1,a crow
0,a May morning
1,a goose liver meant for eating
0,it
1,Caesar
0,a prince in his castle
1,a star in the empty night
0,light
1,stone age
0,a judge
1,the biblical Lot
0,a mother 's dream of her child
1,skin
0,David
1,that
0,deep rivers
1,a perfect storm
0,a baby
1,floods raised in small streams by sudden rain
0,the next
1,evil
0,cotton
1,a dump
0,a mother and her son
1,a frozen fight
0,the rain
1,a cock in a pond
0,a government mule
1,something guilty
0,the spring
1,a cat
0,a breeze
1,a tick
0,a grenadier
1,a grasshopper
0,the roof
1,a night dream of a mute who had had enough of a song
0,a good housekeeper
1,the wind
0,Abraham
1,a locust
0,ants
1,the wind
0,a camel leader
1,a Hebrew book
0,a clock
1,creation
0,a great storm
1,the grave
0,a flute player
1,a spanked child
0,the holy truth
1,a rough sea
0,the smoke of a furnace
1,the scythe
0,a statue
1,the auctioneer
0,a bee
1,noon
0,a cemetery
1,a market
0,the world
1,a breeze
0,the vision of life
1,yesterday
0,Samson
1,a reed
0,an iron soul
1,a Chicken
0,the apple of my eye
1,a cat
0,Tumbo Karai
1,an anorexic
0,an angel
1,a wandering goat
0,money
1,money
0,the class
1,the classroom
0,Otieno
1,lemons at Otieno
0,a mast
1,a hammer
0,gold
1,second - hand clothes
0,chicken milk
1,clouds in the sky
0,lead
1,a snail
0,a pig
1,a needle
0,Europe
1,a thief in his forties
0,a Masai
1,a turtle
0,milky white teeth
1,darkness
0,we
1,we
0,cupped eyes
1,frog eyes
0,sermons
1,sugar
0,gold
1,second - hand clothes
0,the eye of a needle
1,a football field
0,bike
1,the distance between the eyes
0,sheep for studies
1,monkeys in studies
0,a ring and a ring
1,oil and water
0,a Peacock
1,a cesspool
0,the sky for the world cup
1,Gikomba 's market for the world cup
0,Naivasha
1,like a baby who got teeth
0,your parents
1,your parents ' instructions
0,ticks
1,ants
0,a jug of water
1,the Chemistry lesson
0,a secret in a rift valley
1,day in the rift valley
0,the world race
1,a stone in the world race
0,perfume day and night
1,an ulcer day and night
0,a piano
1,frogs
0,a heart
1,a waste
0,a rooster
1,Maria 's misdeeds
0,the devil
1,an angel
0,a hyena
1,a terminally ill patient
0,siafu
1,chicken milk
0,a disaster
1,lake Victoria
0,the flag
1,the flag
0,teachers
1,a thunderclap
0,siaf
1,the sun and the moon
0,my heart
1,my heart
0,a dead ear
1,a king 's maid
0,I
1,the sun and the moon
0,me
1,a branch in a storm
0,pepper
1,a fly
0,Mbwakoko
1,a sleeping child
0,the bereaved
1,as sympathetic as winning the Lotto
0,his way to school
1,a bride going to school
0,a stove
1,a refrigerator
0,an elephant
1,the eye of a needle
0,iron
1,a stick holding an elephant
0,vegetables
1,rocks
0,blood
1,milk
0,an abandoned child
1,a water jug
0,an Indian
1,a child
0,another
1,the United States and Kenya
0,a rabbit
1,a fish
0,hell
1,the bottom of the sea
0,that
1,that
0,butter
1,pebbles
0,syrup
1,a baby who wo n't stop crying
0,tortoise legs
1,Swara 's
0,a stone crusher
1,a patient in the ward
0,Otieno
1,Otieno
0,he
1,he
0,each other
1,there
0,honey
1,God
0,honey
1,lemons
0,a barren child
1,a servant condemned to death
0,a soldier walking in the dark
1,the dark as brave as a sheep being led to the slaughter
0,a queen 's daughter
1,a rained sheep
0,a bullet
1,a bull
0,a thief
1,the sea
0,a beach
1,a well
0,the president
1,large numbers like cow 's eggs
0,the police
1,priests
0,as fickle as a Chameleon
1,as fickle as a politician
0,a goat played with a piano
1,the queen 's bodyguard
0,the president of the country
1,the middle child
0,a locked lock
1,a sunny afternoon
0,a pillow
1,gravel
0,an ambulance with a critically ill patient
1,a siafu carrying a stew
0,a star
1,a cherry blossom
0,an orphan
1,a king 's son
0,he
1,he
0,us
1,us
0,a Monkey
1,a siafu
0,a child who lost her mother 's money
1,the head teacher 's office
0,a doctor
1,drunkards
0,her
1,a mother of vegetables in the market
0,a peacock
1,a drunk
0,Mount Kilimanjaro
1,a hair
0,a football
1,a child
0,the devil
1,a child
0,wheat
1,a frog
0,a dog
1,a fish
0,a chief 's banner
1,a pusher on a windy day
0,an airport
1,a hut
0,it
1,she
0,he
1,the vendor
0,others
1,a lion
0,glue
1,gravel
0,a pig
1,an anorexic
0,donkeys
1,house cats
0,a chariot
1,a crate of eggs
0,then
1,a crocodile
0,an ostrich
1,a rooster
0,sharp eyes like an eagle
1,we
0,a beautiful bottle - shaped daughter
1,number eight
0,the Internet
1,a young child
0,faith
1,the day
0,a microphone
1,a water jug
0,an egg
1,a donkey
0,a voting line
1,a desert
0,a child who refused to eat
1,a marguerite called for food
0,his baptism
1,his baptism
0,work
1,a sick chicken
0,diamonds
1,coal
0,a child
1,a prisoner
0,as long as government promises
1,a thunderclap
0,Gikomba
1,they
0,a thief beaten by a mob
1,a devotee bitten by a mosquito
0,a rebel
1,a rooster
0,a monkey
1,a dead body
0,a dog
1,mountains
0,a student sitting the national exam
1,a chocora
0,ice exposed to the sun
1,a diamond
0,the valleys and rivers
1,a fly
0,a rose
1,a hot hand
0,the wind
1,the wind
0,heaven
1,hell
0,you
1,the wind
0,a giraffe
1,a fingernail
0,a choker
1,a king
0,outside
1,outside
0,paper
1,an anchor
0,sharp
1,sheep
0,she
1,she
0,the president
1,a shoemaker
0,the sea
1,a needle 's eye
0,steam
1,ice
0,blood
1,milk
0,Nairobi
1,Nairobi
0,lemonade
1,honey
0,a barrel
1,the sea
0,the evening sun
1,a club
0,lightning
1,rabbits
0,another
1,the sun and the moon
