labels,z
0,an ocean
1,a pond
0,a deer
1,a turtle
0,a market
1,a graveyard
0,a light tree
1,a tela tree
0,rain
1,thunder
0,a stone
1,water
0,it
1,it
0,24 karat gold
1,limestone
0,a lion
1,a cat
0,a Spanish guitar
1,a jar
0,a nut
1,a turtle
0,Mount Merapi
1,the sea
0,invisible
1,the market
0,a leaf
1,a robot
0,an angry bull
1,a hungry cat
0,a frog in a shell
1,swallows
0,a jet
1,you
0,the class
1,Andi
0,a chain
1,close friends
0,an eagle
1,a lion
0,a baby 's skin
1,a man 's skin
0,daylight
1,night
0,the sun
1,an ice cube
0,an elephant
1,an ant
0,water in a taro leaf
1,a stone
0,Javanese sugar
1,coffee
0,water and oil
1,a forest and rain
0,silk
1,wool
0,a drink
1,away
0,it
1,a knife
0,the bitterness of honey
1,poison
0,the earth and
1,split bamboo
0,a midget reaching for the stars
1,gold
0,a gold necklace
1,an iron necklace
0,water
1,ice in the mountains
0,a task like building a temple
1,planting rice
0,a thousand - year - old statue
1,a dragonfly
0,a snail
1,a tiger
0,a thousand tree forest
1,a dove house
0,his voice like a crowing chicken
1,a sleeping cat
0,a tip
1,bamboo shoots
0,a lizard swallowing a wife
1,a pond
0,debt
1,diamonds
0,that child
1,that child
0,a Chinese song
1,a drinking beetle
0,dew on the top of the glass
1,dew mixed with ash
0,red lips
1,the hand
0,sultan 's food
1,sick people 's food
0,sugar covered by ants
1,a graveyard at night
0,flowers in the wind
1,dead wood
0,the first date
1,a field otter
0,school walking like a hungry tiger
1,a tiger chasing a deer
0,a deer in the middle of the forest
1,a blind person in the dark
0,president
1,Semar
0,a baboon
1,the night market
0,the Brantas River
1,Bengawan Solo
0,a dry leaf
1,fair queens
0,the price of rice
1,the price of rice
0,a water bottle
1,water
0,a sword
1,flower water
0,the city
1,rain
0,a sleeping flower
1,a demon
0,the playon bull
1,the flags blowing in the wind
0,it
1,the fingers of one hand
0,the sea
1,a farm
0,a mountain
1,their hands
0,the evening
1,the jungle
0,it
1,it
0,fire
1,iron copper
0,a buffalo
1,a feather
0,a stream of water
1,the third season
0,the Jakarta village
1,blood
0,a gong
1,the decision
0,teak wood
1,the sea
0,milk
1,oil and water
0,war
1,a curse
0,the tip of a piece of paper
1,Bu Lurah 's behavior
0,a puppet show
1,a puppet show
0,a breeze
1,the heat of hell
0,a humming bird
1,a bird of prey
0,iron
1,kapok
0,a train
1,a rickshaw
0,a warbler
1,a duck
0,chicken shit
1,jasmine flowers
0,airplanes
1,snails
0,a thousand years
1,five seconds
0,your hand
1,it
0,a rock
1,porridge
0,a drug
1,saliva
0,he
1,a snail
0,it
1,the noon sun
0,a sharp sword
1,blunt rubber
0,ice
1,fire
0,a monas monument
1,an ankle
0,a gas lighter
1,cold water
0,the house
1,pupur
0,kapok
1,a rock
0,sour
1,sugar cane
0,the light of the morning
1,sunset
0,clear glass
1,a puddle of water
0,charcoal
1,snow
0,tluth
1,they
0,five days
1,he
0,three meals a day
1,fish
0,flowers
1,a dead body
0,the south sea
1,a rat 's alley
0,a sea turtle
1,kneeling
0,sheep
1,jasmine flowers
0,an elephant
1,an ant
0,ice water
1,ronde drink
0,sugar cane
1,a leaf
0,gold
1,wood
0,iron
1,wood
0,chicken
1,boiled tempeh
0,the blue sea
1,a dom hole
0,a hundred years
1,five minutes
0,a young date
1,an old date
0,a walled house
1,a cardboard house
0,her stomach
1,his stomach
0,a sky full of stars
1,the sky
0,sand on the beach
1,agate
0,wild dogs
1,kittens
0,Luna Maya
1,Mak Lampir
0,his wallet
1,his wallet
0,teak wood
1,banana peels
0,a palace
1,a boarding school
0,a football field
1,a terrace
0,I
1,a burden
0,his life
1,an iron bar
0,rice
1,a cracker
0,he
1,he
0,the exhaust of an old and worn out car
1,a walking thief
0,heavy rain that does not stop
1,a bald head with sparse hair
0,the house
1,a box of petel
0,a train track
1,a panty slip
0,water
1,a stone placed in water
0,a king 's palace
1,a cardboard and plywood house
0,foam in the ocean
1,the morning prayer congregation in the mosque
0,heaven
1,hell
0,a market
1,a graveyard
0,Didi 's voice
1,the lid of a pot
0,a baby 's skin
1,the skin of salak
0,the north pole
1,a desert of fear
0,a lion king in the middle of the forest
1,a turtle that often hides in its shell
0,a wave in the middle of the ocean
1,a mountain
0,a smart and agile deer at school
1,a pile of wood
0,the ocean
1,a hole in a straw
0,steel
1,Mentally
0,the moon that lights up the dark night
1,it
0,ducks in a row
1,a traffic jam in the capital city
0,a tiger
1,a rat 's tail caught in the door
0,an elephant
1,an ant
0,silk
1,a palm broom
0,a chain
1,solid wood that is often touched by water
0,the Indian Ocean
1,a child 's pool
0,a leopard chasing his prey
1,a garden snail
0,a basketball
1,a power pole
0,the number of football players
1,the number of rambutan seeds
0,she
1,he
0,a bird flying freely in the sky
1,a bird in a cage
0,a finger hit by a sharp knife
1,the tea he drinks when it rains
0,the wind
1,a hungry tiger
0,an ant
1,a buffalo
0,a stone
1,light cotton
0,the story of Romeo and Juliet
1,a dog and a cat
0,the asphalt of the highway
1,many pebbles
0,a human being with oxygen
1,water and oil
0,a night market
1,the shops of young girls
0,a raden werkudara
1,a green buto
0,Gatot Kaca
1,Sengkuni
0,an eagle looking for its prey
1,a child
0,a buffalo that goes back to its cage
1,a nut
0,a sponge filled with honey
1,an empty drum giving a loud sound
0,a wave of snakes
1,the battery
0,two
1,day and night
0,a kangaroo
1,a rabbit
0,the core of the earth
1,an ice cube
0,a rock that will not be shaken even if it is hit by a big wave
1,cocoa
0,three kilos
1,the road
0,being married
1,himself
0,an animal cage
1,a hotel room
0,something high
1,the water splashes
0,tomorrow
1,a flower inside a banana leaf
0,Werkudhara
1,Petruk
0,water for a child
1,it
0,promises like pigeons
1,an elephant riding a rickshaw
0,seven generations that never run out
1,clothes and panties
0,it
1,my house
0,it
1,they
0,them
1,people who go to the market
0,a dom in the middle of straw
1,I
0,a store
1,she
0,a lake
1,coffee water
0,a grater
1,the skin of a baby
0,the sky
1,the width of an alley
0,a blondo who needs to be asked again
1,a person who likes to be with others
0,it
1,a wet cloth
0,the sky
1,an electric pole
0,a football field
1,a noodle box
0,walking up a mountain
1,a leisurely walk
0,rice
1,an ant hitting the sun
0,the house
1,a graveyard
0,a hundred marks
1,night
0,a pot
1,the fire
0,an intersection
1,a green light
0,juwet fruit
1,milk
0,a drum
1,a pole of the house
0,he
1,he
0,a cocoon
1,two people
0,a limo jacket
1,ten people
0,guava flowers
1,charcoal
0,an important official
1,a job
0,a machine that never dies
1,a clock running out of battery
0,umbrellas and rain
1,cats and dogs
0,clowns
1,a yellow leaf
0,the apocalypse
1,I
0,a flower in a blooming garden
1,a withered flower
0,Javanese sugar
1,a mouse
0,a lion roaring deep in the forest
1,a child reciting
0,shallow water
1,the size of a tree
0,jasmine flowers
1,sweat
0,a rock
1,crackers
0,a football field
1,a peanut shell
0,a raging tiger
1,a statue
0,a mother
1,a mistake
0,a medicine for two teeth
1,banana compote
0,rice
1,food
0,a tall building
1,chips
