labels,z
1,Bolaj 's father 's son
0,a wise man Enter Shoyinka
1,Professor Walole Shoyinka
0,a privileged family
1,a chosen family
0,wine
1,
0,a person who has a cold
1,he
0,a gun
1,a star
0,your happiness
1,better
0,the final exam
1,the final exam
0,the family
1,
0,he
1,he
1,the eyes of a bat
0,laughter and joy
0,a car fire
1,nothing
0,widened
1,too big
0,the giants
1,his broken feet
0,almost
1,a stone
0,the hot water in the exam room
1,the exam room
0,loudly
1,Makinde 's friend
1,the scene of the car accident
0,a new car
1,who
0,Adigun 's beautiful younger sister
1,the police
0,beautifully and alike
0,love
1,he
0,the age of a tortoise
1,the age of a tortoise
0,the wine house
1,the wine house
0,a hunter
1,they
0,the sinners
1,who
0,the curse of the matter in court
1,who
0,excitement
1,
0,all our fights
1,all our fights
0,anymore
1,the banana plantation
1,the charges against him
0,he
1,a monkey
0,monkeys
0,him
1,they
1,a fool
0,a new house
1,the water of a river lake
0,a King
0,they
1,who
1,prison
0,the king 's city
0,a hunter
1,who
0,our group
1,our group
1,he
0,Bolaji
0,Aláfin
1,beautiful
0,who
1,who
0,the World Cup
1,the World Cup
1,the ear of an owl
0,well - heard
1,they
0,the king
0,the river of God 's love
1,God
0,an unborn baby
1,his wife
1,a burning furnace that has run out of oil
0,clearly
1,a dog in the morning
0,dogs
0,an elder in Yoruba customs and practices
1,Yoruba culture
0,the hospital
1,the hospital
1,the city
0,our city
1,11 years of marriage
0,her husband
0,the sheep that gave birth this morning
1,neither male nor female
1,the sacrifice
0,his teams
0,my father
1,my father
1,who
0,money
1,we
0,I
0,bed
1,bed
0,all those who are prevented from entering
1,who
0,rainwater
1,at all
0,the money we made
1,the money we made
0,something else
1,he
1,anger
0,himself
1,Dupé
0,Dupé
0,Aníkúlápó movies
1,I
0,a flower
1,shrunk
1,a rooster
0,a rooster
0,that
1,washing machines
1,I
0,I
1,my feet
0,Tife 's dog
1,a drink
0,the students
1,water
0,the crops
1,their grandfather
0,their father 's beard
0,shoes
1,the shoes
0,three years
1,poison
0,we
1,the house
1,the middle of his head like Sethu 's hair
0,Sethu
0,knocking at your door
1,Many
1,a camel 's lip
0,me
1,who
0,a smile
1,front of our house of worship
0,front of our church
1,the citizens
0,a new mandate
0,we
1,a city
1,the Honorable One
0,too full
1,a slap in the face
0,President Buhari
1,who
0,the salaries of our teachers
1,a diamond
0,that of a virgin
0,Alao 's birthday
1,a desert
0,they
1,I
1,the government
0,the government
1,childhood
0,childhood
0,a messenger
1,me
1,the street
0,money
1,Isola 's road to Igegun
0,Igegun road
0,the art of weaving like the people of Oyo
1,the work of weaving
0,a bottle of water
1,a weed
0,the expert hunters
1,the hunters
0,my work
1,his education
1,that
0,who
0,the cave
1,the sinkhole
1,a son whom Elédunmarê did not know
0,a son whom Elédunmarê did not know
0,they
1,men
0,I
1,Şadeh
1,court
0,his life 's sacrifice
1,I
0,who
0,
1,the judge
1,noon
0,his position
0,the earth
1,I
0,the cost of living
1,his group meetings
1,chickens
0,greed
1,the person who sold the food to him
0,hands
1,the market
0,dusting ingredients
0,effort soup
1,our hands
0,heaven
1,the person who robs the government
1,the bride and groom at the wedding we went to yesterday
0,the wedding we attended yesterday
0,morning
1,chickens
1,bad friends
0,new friends
0,the matter
1,all the prisoners
0,he
1,he
1,our tongues
0,
0,the one who will never die again
1,he
0,the matter that happened between a priest and a girl
1,the priest and the girl
0,the issue
1,the matter
0,the law of Èdunmâre
1,Èdunmâre
1,released
0,a new car
0,his mouth
1,afraid to open the matter
1,him
0,the words
1,really amazing
0,very important
1,
0,king
1,a snake
0,patiently
1,hot
0,boiled rice
1,the words
0,the matter
1,the ground
0,the top
1,the kangari
0,it
1,a woman
0,good
0,eggs
1,sweet
1,me
0,the matter
0,
1,
0,he
1,Dé
0,an elephant
1,a turtle
1,thanks
0,the river
1,midnight
0,tomorrow
1,stronger
0,quieter
1,Always
0,his customers
1,very sorry
0,around
1,a knife
0,a milk drinker
1,the old clothes
0,Ajadí
1,just pitiful
0,unfortunately
1,who
0,the story
1,
0,
1,rain
0,dressing
1,my face
0,my face
1,earth
0,the left side of the world
1,
0,
1,empty
0,it
0,soft close
1,soft
1,this matter
0,the word
0,Ajani
1,Ajaní
1,shocked
0,me
0,a long day
1,yesterday
0,very impatient to drink water
1,trouble
0,the bottom of the pot
1,him
1The entrant,
0,calm
1,Álibi 's nose
0,
1,
0,a flat plate
1,Ajála 's head
0,Ajala
0,three
1,you
1,his servant
0,money
0,two months
1,me
1,
0,the morning water
1,her
0,worthy
1,his parents
0,clothiers
1,the matter
0,the matter
1,the police
0,he
1,the ass
0,the rich
0,it
1,the word
1,about to be overstated
0,short
0,
1,
0,him
1,rather poor
1,the presence of the King
0,front of the King
1,flexible
0,Why
1,
0,forward
1,each other
0,so
1,there
0,easy to see
1,hard
0,a child 's voice
1,the bottom of the basket
0,it
1,the bottom
0,the mountains
1,Oshola
0,a human horse
1,the field
0The capital,
0,a book
1,guilty
1,things
0,
0,inside
1,inside
1,finally
0,finally
1,
0,
0,silent
1,down
1,watery
0,a parent 's pride
1,the water
0,heavily
1,grain
0,too tight
0,learning
1,direct
1,Adewumi
0,Adewimi
0,
1,
0,Ílorin
1,Ilorin
1,the eye
0,his master
1,difficult
0,What
1,the book
0,it
1,down
0,each other
0,the sword
1,a shoe
1,Adisa 's hand
0,Okété
1,the police
0,the world
0,Tope
1,Palm Sunday
0,too much
1,it
1,the table
0,
1,it
0,more flexible
0,a banana peel
1,a fish eye
1,a magician
0,the Universe
1,vain
0,responsibilities
1,Ayoy 's eyes
0,Ayoy 's mercy
0,Ajála
1,Ajala
0,it
1,down
1,home
0,a virgin
1,the basket
0,the honey bridge
1,the corn
0,the corn
1,
0,abundantly
1,
0,night
1,
0,
1,a cow
0,the unstoppable one
0,properly
1,you
1,
0,
1,a veil
0,a living dance
1,
0,
1,the river
0,the south
1,an eight - day - old child
0,a man
1,the oil
0,oil
0,Bimpé
1,a sheep
1,us
0,it
1,my advice
0,my advice
1,me
0,me
1,Ajani
0,a curse in Ajani
1,her
0,you
1,Ayo 's face
0,Ayoy
1,my mouth
0,me
1,
0,
1,a close - headed child
0,an ordinary person
1,satisfied
0,hunger
1,ticking
0,
1,
0,
1,speechless
0,the mouth
1,a model
0,a negative skull
0,the President
1,
0,eaten up
1,the ground
1,
0,Dada
1,its last
0,away
0,a simple matter
1,
0,a teenager
1,the hands of Idowwu
0,the capital
1,the President
1,the Idowhu shop
0,fat
0,sleep
1,the world
0,him
1,him
1,a dream
0,planting
1,us
0,my mind
1,wages
0,a dollar
1,dangerous
0,wise
1,that
0,a rat
1,the teacher
0,the teacher
1,
0,the page
1,already
0,too old
1,a lizard
0,a dove
1,breath
0,a breather
1,a smallpox
0,a dove
0,me
1,me
1,sleep on
0,get off
1,a tree
0,
1,anymore
0,
0,
1,
1,who
0,who
1,top of me
0,my place
1,Many
0,again
0,Him
1,Him
0,already
1,hand
1,Fire
0,Fire
1,
0,
1,the cross
0,back
1,a rat creature
0,
1,a mouthful
0,a guard dog
0,who
1,
0,my enemies
1,the enemy
0,
1,
1,a witness
0,elephant food
1,Oyo
0,the third party
1,
0,
0,
1,tired
1,dry
0,cold
1,who
0,who
1,your breath
0,your mind
1,me
0,the town we just bought
1,who
0,the dishes
