labels,z
1,an ant
0,a goddess
1,a devil
0,a bungalow
1,a hut
0,sugarcane
1,seebe
0,Ambani
1,a beggar
0,coconut oil
1,as viscous as alum
0,the energy of the sun
1,electrical energy
0,a dog
1,a fox
0,a topper
1,a normal student
0,Vijnani
1,a poet
0,a gem
1,a stone
0,a white cloud
1,a blackboard
0,a flower
1,a dry leaf
0,a gym guy
1,a chubby one
0,barbie
1,Mickey
0,filtered water
1,pond water
0,a child
1,a girl like an adult
0,a comedian
1,the professor
0,a donut
1,a smoothie
0,lovely to listen to
1,hoarse to listen to
0,a thin man
1,a fat man
0,scuba
1,swimming
0,a housewife
1,a model
0,a snake
1,a lizard
0,a cloud
1,a rock
0,winter
1,summer
0,summer
1,the rainy season
0,a giraffe
1,a deer
0,a love story
1,a suspense thriller
0,the sky
1,moon
0,iron
1,plastic
0,a flower
1,an animal
0,innumerable stars
1,innumerable planets
0,a horse at work
1,work
0,milky white
1,water
0,chameleons
1,a snake
0,the Taj Mahal
1,a demolished palace
0,a highway
1,a hill station
0,a hill station
1,a highway
0,risky
1,risky
0,hot
1,cold
0,the stick
1,the stick
0,very big
1,very small
0,very easy
1,cricket
0,a lot of intelligence
1,less intelligence
0,that painting
1,that painting
0,a good message
1,a bad message
0,the song
1,the song
0,the fair
1,the fair
0,steel
1,plastic
0,a sharp look
1,a soft appearance
0,drinking water
1,as easy as climbing a hill
0,I
1,good enough to want to listen again
0,a rocket
1,a bullock cart
0,people
1,you
0,petrol
1,water
0,as beautiful as computer writing
1,a doctor 's prescription
0,perfume
1,very fragrant
0,cotton
1,stone
0,covid
1,cancer
0,a flight
1,a bullock cart
0,the Kohinoor diamond
1,unique as usual
0,the stock market
1,fixed deposits
0,an actor
1,a farmer
0,agricultural land
1,a desert
0,a tunnel
1,a highway
0,the sea
1,a lake
0,magic
1,a circus
0,millet pulp
1,chapati
0,a flight
1,a helicopter
0,a child
1,an old man
0,a baby 's skin
1,the skin of an old man
0,a blast
1,a party
0,a palace
1,a government office
0,the league
1,the World Cup
0,a cough
1,a heart attack
0,Bharatanatyam
1,disco
0,a regular checkup
1,the surgery
0,Ayurvedic
1,Chinese food
0,a pill
1,Ayurveda
0,the alphabet
1,the essay
0,a desert
1,agricultural land
0,those of a wrestler
1,a patient
0,a dog
1,a cat
0,the Taj Mahal
1,Gol Gumbaz
0,a mite
1,a virus
0,diamond
1,silver
0,a monk
1,a robber
0,the Joker
1,a doctor
0,fresh water
1,sea water
0,diet
1,biryani
0,water
1,Alco Hal
0,the devil
1,God
0,God
1,the devil
0,children
1,his grandfather
0,an athlete
1,the patient
0,a patient
1,a wrestler
0,the director
1,the driver
0,jackfruit
1,tapioca
0,milk
1,water
0,an island
1,a desert
0,a turtle
1,a mosquito
0,a snake
1,a buffalo
0,the moon
1,an amoeba
0,a stew
1,chilli
0,a barangay
1,a slum
0,blood red
1,water
0,mother 's milk
1,formula milk
0,a director
1,an actor
0,this body
1,this body
0,the Olympics
1,the World Cup
0,a hurricane
1,an earthquake
0,a baby
1,an adult
0,scientists
1,a historian
0,work
1,work
0,the company
1,a regular employee
0,a writer
1,a reader
0,an engineer
1,a poet
0,a comedian
1,a wrestler
0,a detective story
1,a poem
0,as difficult as getting a Ph . D
1,as difficult as getting a degree
0,rain
1,an earthquake
0,as common as having a car
1,a flight
0,a judge in the society
1,a criminal in the society
0,kings
1,farmers
0,a dog
1,a tiger
0,a forest
1,a city
0,a tree root
1,the root of a plant
0,a desert
1,a mountain
0,a sparrow
1,an eagle
0,copper
1,gold
0,stars
1,stone
0,iron
1,gold
0,a policeman
1,thieves
0,in the stadium
1,as a cinema hall
0,a football
1,a cricket bat
0,a dolphin
1,a crocodile
0,a monkey
1,a lion
0,a dollar
1,Rs
0,a child 's
1,an adult 's
0,rain
1,an earthquake
0,a long time like Test cricket
1,a long time like cricket
0,those of daily wage labourers
1,businessmen
0,the wind
1,gold
0,a tsunami
1,GD rain
0,a comet
1,a star
0,planting
1,fireworks
0,a forest
1,a garden
0,drinking water for health
1,health
0,a book
1,a party
0,a football field
1,a badminton ground
0,a bicycle
1,a car
0,a child
1,adults
0,as easy as having a mobile
1,as easy as having a private chopper
0,animals in the forest
1,animals as the city
0,a government job
1,a private job
0,friends
1,enemies
0,a sword
1,a stick
0,an egg
1,a ring
0,math
1,a poem
0,a monkey
1,a lion
0,the sky
1,the earth
0,a machine
1,handiwork
0,as good as winning the lottery
1,an accident
0,that of a scientist
1,a student 's
0,diamonds
1,iron
0,agricultural land
1,a desert
0,music
1,a horn
0,cow
1,a tiger
0,Bruce Lee 's
1,an old man
0,sea water
1,water
0,as healthy as riding a bicycle
1,as healthy as driving a car
0,cricket in India
1,basketball in India
0,mother 's milk for the baby
1,powdered milk for a baby
0,a deer
1,a lion
0,a wrestler
1,a singer
0,an airplane
1,a car
0,a wedding
1,the house
0,the trip
1,the test
0,Gandhi
1,Godse
0,milky white
1,coffee
0,a movie hero in India
1,a hockey player in India
0,sadhus
1,hunters
0,blood
1,water
0,covid
1,jaundice
0,letter
1,a practice as old as sending email
0,snow
1,stone
0,trekking
1,a morning walk
0,the full moon
1,the full moon new moon darkness
0,a detective story
1,a comedy story
0,a doughnut
1,hard
0,soap
1,a squash
0,a soldier
1,a militant
0,glass
1,copper
0,a home made snack
1,a roadside snack
0,an apple
1,pasta
0,bitter gourd
1,mango
0,a bore well
1,a house tank
0,a starfish
1,a whale
0,a jaggery
1,neem
0,that of a son
1,Rani Chennamma
0,bread
1,a puff
0,sea water
1,they
0,the full moon
1,the darkness of the new moon
0,a cold breeze
1,a storm
0,a model
1,a village lady
0,as healthy as ragimudde
1,a burger
0,a koala
1,a frog
0,Rambe
1,Shurpanaki
0,a bed
1,hard ground
0,a lake
1,a river
0,Sky Drive
1,a walk
0,the writer
1,a comedian
0,ice cream
1,soup
0,an idli
1,a dosa
0,gold
1,a diamond
0,attractive colors like the bow of lust
1,a white board
0,a new building
1,an old monument
0,a whisper
1,a loud voice
0,grandma
1,a newborn baby
0,a full moon day
1,a new moon day
0,a baby
1,grandfather
0,an officer
1,a beggar
0,bread
1,bread
0,the sky
1,the earth
0,a square
1,a circle
0,a ship
1,a boat
0,the singer
1,a dancer
0,a bullock cart
1,a jet
0,a child
1,an adult
0,an elephant
1,an ant
0,a goddess
1,a devil
0,a bungalow
1,a hut
0,sugarcane
1,seebe
0,Ambani
1,a beggar
0,coconut oil
1,as viscous as alum
0,the energy of the sun
1,electrical energy
0,a dog
1,a fox
0,a topper
1,a normal student
0,physics
1,history
0,the sun
1,the moon
0,the Sun
1,the Moon
0,volcanoes
1,a satellite launch
0,difficult
1,cricket
0,the body
1,elixir for the body
0,a wheel
1,a ladder
0,a magic show
1,a magic show that made me sleepy
0,Kashmir
1,Rajasthan
0,iron
1,glass
0,a rainbow
1,the spilled paint
0,the World Cup Final
1,a league match
0,football
1,Kabaddi
0,a politician
1,a citizen
0,Amma
1,hotel cuisine
0,Mount Everest
1,hills
0,the sound of birds
1,the sound of animals
0,a lion
1,a cat
0,a mountain
1,a swimming pool
0,a child 's
1,adults
0,Krishna
1,Arjuna
0,milk
1,water
0,the ocean
1,future
0,day
1,day
0,snow
1,the material
0,football
1,football
0,Mother Teresa
1,bin Laden
0,Singapore
1,India
0,Bhagat Singh revolutionaries
1,Gandhiji
0,the world
1,the world
0,a telephone
1,a mobile
0,protein
1,protein
0,yam
1,pepper
0,as dangerous as smoking
1,meditation
0,a dolphin
1,an elephant
0,a turtle
1,a mosquito
0,a scientist
1,illiterate
0,a bird
1,an animal
0,the print
1,beautiful
0,topper
1,last ranker
0,YouTube
1,WeChat
0,a Kohinoor diamond
1,an ordinary piece of jewellery
0,an adult 's
1,a child 's
0,his mother - in - law
1,stone
0,sugar
1,neem
0,banana
1,jackfruit
0,a limited time like mango
1,a limited time like an apple
0,carrot
1,beetroot
0,sugar
1,sour content
0,poor
1,poor
0,a gem
1,a stone
0,a white cloud
1,a blackboard
0,a flower
1,a dry leaf
0,a gym guy
1,a chubby one
0,barbie
1,Mickey
0,filtered water
1,pond water
0,a child
1,a girl like an adult
0,a comedian
1,the professor
0,a donut
1,a smoothie
0,lovely to listen to
1,hoarse to listen to
0,a thin man
1,a fat man
0,scuba
1,swimming
0,a housewife
1,a model
0,a snake
1,a lizard
0,a cloud
1,a rock
0,winter
1,summer
0,summer
1,the rainy season
0,a giraffe
1,a deer
0,a love story
1,a suspense thriller
0,the sky
1,moon
0,iron
1,plastic
0,a flower
1,an animal
0,innumerable stars
1,innumerable planets
0,a horse at work
1,work
0,milky white
1,water
0,chameleons
1,a snake
0,the Taj Mahal
1,a demolished palace
0,a highway
1,a hill station
0,a hill station
1,a highway
0,risky
1,risky
0,hot
1,cold
0,the stick
1,the stick
0,very big
1,very small
0,very easy
1,cricket
0,a lot of intelligence
1,less intelligence
0,that painting
1,that painting
0,a good message
1,a bad message
0,the song
1,the song
0,the fair
1,the fair
0,steel
1,plastic
0,a sharp look
1,a soft appearance
0,drinking water
1,as easy as climbing a hill
0,I
1,good enough to want to listen again
0,a rocket
1,a bullock cart
0,people
1,he
0,petrol
1,water
0,as beautiful as computer writing
1,a doctor 's prescription
0,perfume
1,very fragrant
0,cotton
1,stone
0,covid
1,cancer
0,health
1,health
0,dry fruits
1,a banana
0,February
1,December
0,Sunday
1,Monday
0,Bangalore
1,Mysore
0,Delhi
1,Bangalore
0,a cyclone
1,summer
0,Kalam
1,Vajpayee
0,Bill Gates
1,Adani
0,a market
1,a graveyard
0,that region
1,Rajasthan
0,Kerala
1,Karnataka
0,a shrine
1,a fantasy park
0,a magnet
1,plastic
0,plastic
1,fruit
0,a graveyard
1,a playground
0,covid
1,As
0,doctor
1,more labor intensive than farming
0,a politician as a monk
1,a politician as a monk
0,he
1,a few seconds
0,thorny
1,flowers
0,a freedom fighter
1,a terrorist
0,Tata company
1,a start - up
0,years of history
1,years of history like Facebook
0,Buddha 's smile
1,a thief 's
0,deer
1,a tiger
0,a snake
1,poison like an eagle
0,ironclad
1,a peeled banana
0,a wedding
1,a house of death
0,a mustard seed
1,a ball
0,a rose
1,hibiscus
0,a forest
1,the city
0,the sun
1,the moon
0,easy with UPI
1,easy by check
0,that of India
1,that of Canada
0,America
1,Singapore
0,the Olympics
1,the Asian Games
0,the Red Fort
1,the red shopping mall
0,Prabhudeva
1,the Great Kali
0,covid
1,covid
0,that town
1,that town
0,that town
1,Simla
0,Mysore
1,Bangalore
0,an influential person as well as a politician
1,a farmer
0,Afghanistan
1,India
0,millet
1,panipuri
0,a teacher
1,a thief
0,water like an island
1,water like India
0,Ravana
1,Kumbhakarna
0,the school farewell ceremony
1,bored to celebrate the school farewell ceremony
0,a flight
1,a bullock cart
0,the Kohinoor diamond
1,unique as usual
0,the stock market
1,fixed deposits
0,an actor
1,a farmer
0,agricultural land
1,a desert
0,a tunnel
1,a highway
0,the sea
1,a lake
0,magic
1,a circus
0,millet pulp
1,chapati
0,a flight
1,a helicopter
0,a child
1,an old man
0,a baby 's skin
1,the skin of an old man
0,a blast
1,a party
0,a palace
1,a government office
0,the league
1,the World Cup
0,a cough
1,a heart attack
0,Bharatanatyam
1,disco
0,a regular checkup
1,the surgery
0,Ayurvedic
1,Chinese food
0,a pill
1,Ayurveda
0,the alphabet
1,the essay
0,a desert
1,agricultural land
0,those of a wrestler
1,a patient
0,a dog
1,a cat
0,the Taj Mahal
1,Gol Gumbaz
0,a mite
1,a virus
0,diamond
1,silver
0,a monk
1,a robber
0,the Joker
1,a doctor
0,tears
1,a smile
0,sleepy
1,whistle blowing
0,an Indian culture
1,a western culture
0,it
1,you
0,area like Karnataka
1,area like Goa
0,Uttar Pradesh
1,Kerala
0,tourism like Thailand
1,tourism like Pakistan
0,a warrior
1,normal people
0,it
1,it
0,a slur
1,a man of speech
0,vehicles like a highway
1,more vehicles than a normal road
0,jackfruit
1,an orange
0,brothers and sisters
1,enemies
0,Australia
1,Asia
0,that of a scholar
1,that of a newbie
0,a computer keyboard
1,a doctor 's note
0,the Buddha
1,Duryodhana
0,a speaker 's grip on his words
1,they
0,soldiers
1,terrorists
0,an accident
1,a wedding
0,thunder
1,lightning
0,that of a janitor
1,that of a professor
