,startphrase,ending1,ending2,labels,vehicle,vehicle_characteristics,startphrase_enhanced
28,The voyage will be a walk through fire.,The voyage will be difficult and arduous.,The voyage will be pleasant.,0,fire,"Dangerous, transformative, passionate","The voyage will be a walk through fire. Characteristics of fire include: Dangerous, transformative, passionate."
29,The voyage will be a walk through flowers.,The voyage will be difficult and arduous.,The voyage will be pleasant.,1,flowers,"colorful, fragrant, delicate","The voyage will be a walk through flowers. Characteristics of flowers include: colorful, fragrant, delicate."
30,"For him, earning money was oxygen.",Making money kept him alive.,Making money was killing him.,0,oxygen,"life-giving, essential, purifying","For him, earning money was oxygen. Characteristics of oxygen include: life-giving, essential, purifying."
31,"For him, earning money was a rope around his neck.",Making money kept him alive.,Making money was killing him.,1,rope,"Strong, versatile, binding","For him, earning money was a rope around his neck. Characteristics of rope include: Strong, versatile, binding."
32,The speaker was as quiet as a newborn baby.,The speaker was very quiet.,The speaker was actually rather loud.,0,baby,"adorable, innocent, helpless","The speaker was as quiet as a newborn baby. Characteristics of baby include: adorable, innocent, helpless."
33,The speaker was as quiet as a freight train.,The speaker was very quiet.,The speaker was actually rather loud.,1,train,"efficiency, perseverance, interconnectedness","The speaker was as quiet as a freight train. Characteristics of train include: efficiency, perseverance, interconnectedness."
34,The man was as cool as ice,The man was very cool.,The man wasn't cool at all.,0,ice,"cold, transparent, crystalline","The man was as cool as ice. Characteristics of ice include: cold, transparent, crystalline."
35,The man was as cool as sunburn,The man was very cool.,The man wasn't cool at all.,1,sunburn,"painful, red, irritating","The man was as cool as sunburn. Characteristics of sunburn include: painful, red, irritating."
36,The wedding planner was an imposter.,The wedding planner did a horrible job planning the wedding.,The wedding planner did wonderfully planning the wedding.,0,planner,"efficient, organized, meticulous","The wedding planner was an imposter. Characteristics of planner include: efficient, organized, meticulous."
37,The wedding planner was a magician.,The wedding planner did a horrible job planning the wedding.,The wedding planner did wonderfully planning the wedding.,1,magician,"mysterious, enchanting, illusionary","The wedding planner was a magician. Characteristics of magician include: mysterious, enchanting, illusionary."
38,The dancer moved like a butterfly,the dancer is graceful,The dancer is lead footed,0,butterfly,"graceful, delicate, transformative","The dancer moved like a butterfly. Characteristics of butterfly include: graceful, delicate, transformative."
39,The dancer moved like a horse.,the dancer is graceful,The dancer is lead footed,1,horse,"graceful, powerful, loyal","The dancer moved like a horse. Characteristics of horse include: graceful, powerful, loyal."
40,the pizza tastes like homemade,it's delicious,it's garbage,0,pizza,"Hot, delicious, comforting","the pizza tastes like homemade. Characteristics of pizza include: Hot, delicious, comforting."
41,the pizza tastes like yesterdays leftovers,it's delicious,it's garbage,1,leftovers,"neglected, forgotten, abandoned","the pizza tastes like yesterdays leftovers. Characteristics of leftovers include: neglected, forgotten, abandoned."
42,The painting had the creativity of a bowl of oatmeal,The movie was really dull.,The movie was really creative.,0,oatmeal,"Comforting, Nutritious, Versatile","The painting had the creativity of a bowl of oatmeal. Characteristics of oatmeal include: Comforting, Nutritious, Versatile."
43,The painting had the creativity of a James Cameron movie,The movie was really dull.,The movie was really creative.,1,movie,"entertaining, immersive, cinematic","The painting had the creativity of a James Cameron movie. Characteristics of movie include: entertaining, immersive, cinematic."
44,The child was as religious as a priest,The child was very religious,The child was not religious,0,priest,"holy, devout, spiritual","The child was as religious as a priest. Characteristics of priest include: holy, devout, spiritual."
45,The child was as religious as a sinner,The child was very religious,The child was not religious,1,sinner,"repentant, transgressive, alienated","The child was as religious as a sinner. Characteristics of sinner include: repentant, transgressive, alienated."
46,The woman was as kind as a teacher,The woman was kind,The woman was cruel,0,teacher,"knowledgeable, nurturing, influential","The woman was as kind as a teacher. Characteristics of teacher include: knowledgeable, nurturing, influential."
47,The woman was as kind as a prisoner,The woman was kind,The woman was cruel,1,prisoner,"Confined, captive, powerless","The woman was as kind as a prisoner. Characteristics of prisoner include: Confined, captive, powerless."
48,The test is as easy as a Sunday  morning,the test is easy,the test is hard,0,morning,"refreshing, rejuvenating, serene","The test is as easy as a Sunday  morning. Characteristics of morning include: refreshing, rejuvenating, serene."
49,The test is as easy as rocket science,the test is easy,the test is hard,1,rocket science,"complex, challenging, elusive","The test is as easy as rocket science. Characteristics of rocket science include: complex, challenging, elusive."
50,She is happy as a clam,she is elated,she is mad,0,clam,"hard, closed, shell","She is happy as a clam. Characteristics of clam include: hard, closed, shell."
51,She is happy as a bear that stepped on a thorn,she is elated,she is mad,1,bear,"fierce, powerful, protective","She is happy as a bear that stepped on a thorn. Characteristics of bear include: fierce, powerful, protective."
52,The employee is sharp as a razor,The employee is smart.,The employee is dumb.,0,razor,"sharp, precise, efficient","The employee is sharp as a razor. Characteristics of razor include: sharp, precise, efficient."
53,The employee is sharp as a bowling ball,The employee is smart.,The employee is dumb.,1,bowling ball,"heavy, smooth, spherical","The employee is sharp as a bowling ball. Characteristics of bowling ball include: heavy, smooth, spherical."
54,The tourist thought the bed at the hotel felt like velvet,The bed was soft.,The bed was hard.,0,velvet,"smooth, luxurious, tactile","The tourist thought the bed at the hotel felt like velvet. Characteristics of velvet include: smooth, luxurious, tactile."
55,The tourist thought the bed at the hotel felt like marble,The bed was soft.,The bed was hard.,1,marble,"smooth, elegant, timeless","The tourist thought the bed at the hotel felt like marble. Characteristics of marble include: smooth, elegant, timeless."
56,When the rubber hits the road. life gets real,things get intense,things get worse,0,road,"winding, endless, transformative","When the rubber hits the road. life gets real. Characteristics of road include: winding, endless, transformative."
57,When the rubber hits the road. things go  down hill,things get intense,things get worse,1,road,"long, winding, transformative","When the rubber hits the road. things go  down hill. Characteristics of road include: long, winding, transformative."
58,The pianist's performance was a game of whack-a-mole.,The pianist's performance was sloppy.,The pianist's performance was meticulous.,0,whack-a-mole,"addictive, fast-paced, unpredictable","The pianist's performance was a game of whack-a-mole. Characteristics of whack-a-mole include: addictive, fast-paced, unpredictable."
59,The pianist's performance was the weaving of an ornate Persian carpet.,The pianist's performance was sloppy.,The pianist's performance was meticulous.,1,carpet,"colorful, comfortable, cozy","The pianist's performance was the weaving of an ornate Persian carpet. Characteristics of carpet include: colorful, comfortable, cozy."
60,The girl's personality was as sweet as a grapefruit,The girl had a very surly personality.,The girl had a sweet personality.,0,grapefruit,"tart, tangy, rejuvenating","The girl's personality was as sweet as a grapefruit. Characteristics of grapefruit include: tart, tangy, rejuvenating."
61,The girl's personality was as sweet as a donut,The girl had a very surly personality.,The girl had a sweet personality.,1,donut,"sweet, indulgent, circular","The girl's personality was as sweet as a donut. Characteristics of donut include: sweet, indulgent, circular."
62,The movie had as much meaning as a Hallmark card,The movie's meaning was frivolous.,The movie was laden with meaning.,0,card,"versatile, portable, informative","The movie had as much meaning as a Hallmark card. Characteristics of card include: versatile, portable, informative."
63,The movie had as much meaning as the Bible,The movie's meaning was frivolous.,The movie was laden with meaning.,1,Bible,"Inspiring, Sacred, Timeless","The movie had as much meaning as the Bible. Characteristics of Bible include: Inspiring, Sacred, Timeless."
64,The jazz solo sounded as smooth as silk,The jazz solo sounded nice and smooth,The jazz solo sounded rough and bad,0,silk,"lustrous, delicate, luxurious","The jazz solo sounded as smooth as silk. Characteristics of silk include: lustrous, delicate, luxurious."
65,The jazz solo sounded as smooth as sandpaper,The jazz solo sounded nice and smooth,The jazz solo sounded rough and bad,1,sandpaper,"rough, abrasive, gritty","The jazz solo sounded as smooth as sandpaper. Characteristics of sandpaper include: rough, abrasive, gritty."
66,Her hangover made her feel like death,Her hangover made her feel terrible.,Her hangover didn't hurt her at all.,0,death,"inevitable, haunting, transformative","Her hangover made her feel like death. Characteristics of death include: inevitable, haunting, transformative."
67,Her hangover made her feel like a sunrise,Her hangover made her feel terrible.,Her hangover didn't hurt her at all.,1,sunrise,"magical, vibrant, hopeful","Her hangover made her feel like a sunrise. Characteristics of sunrise include: magical, vibrant, hopeful."
68,The room was as open as a farm.,The room was very open.,The room wasn't open at all.,0,farm,"rural, productive, peaceful","The room was as open as a farm. Characteristics of farm include: rural, productive, peaceful."
69,The room was as open as a city.,The room was very open.,The room wasn't open at all.,1,city,"Bustling, diverse, vibrant","The room was as open as a city. Characteristics of city include: Bustling, diverse, vibrant."
70,His joints have the crackle of a bowl of Rice Krispies,His joints are quite crackly,His joints do not crackle,0,Rice Krispies,"Crisp, Crunchy, Playful","His joints have the crackle of a bowl of Rice Krispies. Characteristics of Rice Krispies include: Crisp, Crunchy, Playful."
71,His joints have the crackle of a pre-popped roll of bubble wrap,His joints are quite crackly,His joints do not crackle,1,bubble wrap,"protective, cushioning, satisfying","His joints have the crackle of a pre-popped roll of bubble wrap. Characteristics of bubble wrap include: protective, cushioning, satisfying."
72,The lightbulb is putting out the light of a massive forest fire on a dark night,The lightbulb is putting out a lot of light,The lightbulb is putting out no light,0,forest fire,"destructive, uncontrolled, devastating","The lightbulb is putting out the light of a massive forest fire on a dark night. Characteristics of forest fire include: destructive, uncontrolled, devastating."
73,The lightbulb is putting out the light of a massive black hole in the darkness of space,The lightbulb is putting out a lot of light,The lightbulb is putting out no light,1,black hole,"Mysterious, captivating, enigmatic","The lightbulb is putting out the light of a massive black hole in the darkness of space. Characteristics of black hole include: Mysterious, captivating, enigmatic."
74,The thrift store had the variety of a monochrome print.,The thrift store had a limited selection.,The thrift store had a varied selection.,0,print,"Influential, tangible, expressive","The thrift store had the variety of a monochrome print. Characteristics of print include: Influential, tangible, expressive."
75,The thrift store had the variety of a dazzling tapestry.,The thrift store had a limited selection.,The thrift store had a varied selection.,1,tapestry,"Rich, intricate, artistic","The thrift store had the variety of a dazzling tapestry. Characteristics of tapestry include: Rich, intricate, artistic."
76,The doctor was a Norse villain.,The doctor was mean.,The doctor was kind and charming.,0,villain,"Sinister, deceitful, nefarious","The doctor was a Norse villain. Characteristics of villain include: Sinister, deceitful, nefarious."
77,The doctor was a fairytale prince.,The doctor was mean.,The doctor was kind and charming.,1,prince,"noble, regal, charming","The doctor was a fairytale prince. Characteristics of prince include: noble, regal, charming."
78,The sound of the glass shattering was like Hiroshima,The sound was loud,The sound was quiet,0,Hiroshima.,"devastating, historic, transformative","The sound of the glass shattering was like Hiroshima. Characteristics of Hiroshima. include: devastating, historic, transformative."
79,The sound of the glass shattering was like a lullaby,The sound was loud,The sound was quiet,1,lullaby,"soothing, comforting, gentle","The sound of the glass shattering was like a lullaby. Characteristics of lullaby include: soothing, comforting, gentle."
80,She was a bear at dinner,She ate a lot,She ate very little,0,bear,"fierce, powerful, resilient","She was a bear at dinner. Characteristics of bear include: fierce, powerful, resilient."
81,She was a mouse at dinner,She ate a lot,She ate very little,1,mouse,"cunning, agile, small","She was a mouse at dinner. Characteristics of mouse include: cunning, agile, small."
82,The armor was tough as iron,The armor was tough,The armor was breakable and weak,0,iron,"strong, resilient, versatile","The armor was tough as iron. Characteristics of iron include: strong, resilient, versatile."
83,The armor was tough as glass,The armor was tough,The armor was breakable and weak,1,glass,"fragile, transparent, reflective","The armor was tough as glass. Characteristics of glass include: fragile, transparent, reflective."
84,The toy was cared for like a baby,The toy was taken good care of,The toy was not cared for well at all.,0,baby,"adorable, tiny, innocent","The toy was cared for like a baby. Characteristics of baby include: adorable, tiny, innocent."
85,The toy was cared for like trash,The toy was taken good care of,The toy was not cared for well at all.,1,trash,"disposable, worthless, unwanted","The toy was cared for like trash. Characteristics of trash include: disposable, worthless, unwanted."
86,The lawyer's negotiation tactics were like steel,The lawyer's negotiation tactics were tough.,The lawyer's negotiation tactics were lenient.,0,steel,"strong, resilient, enduring","The lawyer's negotiation tactics were like steel. Characteristics of steel include: strong, resilient, enduring."
87,The lawyer's negotiation tactics were like a fuzzy bathrobe,The lawyer's negotiation tactics were tough.,The lawyer's negotiation tactics were lenient.,1,bathrobe,"soft, cozy, oversized","The lawyer's negotiation tactics were like a fuzzy bathrobe. Characteristics of bathrobe include: soft, cozy, oversized."
88,The plastic plate shattered and looked like A spiderweb,It shattered into a lot of pieces.,It only shattered into 2 pieces.,0,plate,"shiny, durable, versatile","The plastic plate shattered and looked like A spiderweb. Characteristics of plate include: shiny, durable, versatile."
89,The plastic plate shattered and looked like A half moon,It shattered into a lot of pieces.,It only shattered into 2 pieces.,1,moon,"mysterious, celestial, enchanting","The plastic plate shattered and looked like A half moon. Characteristics of moon include: mysterious, celestial, enchanting."
90,The apartment was as high up as The empire State building observation deck.,The apartment was on the high floor.,The apartment was only a few floors up,0,deck,"picturesque, elevated, versatile","The apartment was as high up as The empire State building observation deck. Characteristics of deck include: picturesque, elevated, versatile."
91,The apartment was as high up as A treehouse in the backyard,The apartment was on the high floor.,The apartment was only a few floors up,1,treehouse,"playful, magical, cozy","The apartment was as high up as A treehouse in the backyard. Characteristics of treehouse include: playful, magical, cozy."
92,The man had the features of a Greek god,The man was very attractive,The man was goofy and ugly,0,god,"omnipotent, transcendent, merciful","The man had the features of a Greek god. Characteristics of god include: omnipotent, transcendent, merciful."
93,The man had the features of a clown,The man was very attractive,The man was goofy and ugly,1,clown,"funny, entertaining, unpredictable","The man had the features of a clown. Characteristics of clown include: funny, entertaining, unpredictable."
94,The pug was wheezing in dog form.,The dog is tired and has trouble breathing.,The dog has a ton of energy.,0,dog form,"loyal, playful, protective","The pug was wheezing in dog form. Characteristics of dog form include: loyal, playful, protective."
95,The pug was lightning in dog form.,The dog is tired and has trouble breathing.,The dog has a ton of energy.,1,lightning,"Electric, swift, dazzling","The pug was lightning in dog form. Characteristics of lightning include: Electric, swift, dazzling."
96,That movie has the humor of a nun.,The movie is not funny.,The movie is very funny.,0,nun,"pious, dedicated, serene","That movie has the humor of a nun. Characteristics of nun include: pious, dedicated, serene."
97,That movie has the humor of a clown bus.,The movie is not funny.,The movie is very funny.,1,bus,"vibrant, efficient, communal","That movie has the humor of a clown bus. Characteristics of bus include: vibrant, efficient, communal."
98,The movie has a depth of A crater.,The movie has a deep meaning.,The movie is superficial.,0,crater,"empty, vast, destructive","The movie has a depth of A crater. Characteristics of crater include: empty, vast, destructive."
99,The movie has a depth of A crack.,The movie has a deep meaning.,The movie is superficial.,1,crack,"sharp, addictive, explosive","The movie has a depth of A crack. Characteristics of crack include: sharp, addictive, explosive."
100,The gambler thought his odds were as low as the ground.,His odds were low.,His odds were actually high.,0,ground,"solid, stable, foundational","The gambler thought his odds were as low as the ground. Characteristics of ground include: solid, stable, foundational."
101,The gambler thought his odds were as low as the moon.,His odds were low.,His odds were actually high.,1,moon,"mysterious, ethereal, enchanting","The gambler thought his odds were as low as the moon. Characteristics of moon include: mysterious, ethereal, enchanting."
102,The dancer was as graceful as a swan.,The dancer was graceful.,The dancer was boorish and uncoordinated.,0,swan,"Graceful, Majestic, Elegant","The dancer was as graceful as a swan. Characteristics of swan include: Graceful, Majestic, Elegant."
103,The dancer was as graceful as a honking goose.,The dancer was graceful.,The dancer was boorish and uncoordinated.,1,goose,"silly, graceful, loyal","The dancer was as graceful as a honking goose. Characteristics of goose include: silly, graceful, loyal."
104,He was as smart as A tree stump,The person is dumb,The person is a genius,0,tree stump,"dead, sturdy, rooted","He was as smart as A tree stump. Characteristics of tree stump include: dead, sturdy, rooted."
105,He was as smart as EINSTEIN,The person is dumb,The person is a genius,1,EINSTEIN,"brilliant, innovative, iconic","He was as smart as EINSTEIN. Characteristics of EINSTEIN include: brilliant, innovative, iconic."
106,The stock value was a geyser,The stock value increased.,The stock value stayed stagnant.,0,geyser,"Powerful, eruptive, mesmerizing","The stock value was a geyser. Characteristics of geyser include: Powerful, eruptive, mesmerizing."
107,The stock value was a puddle,The stock value increased.,The stock value stayed stagnant.,1,puddle,"small, shallow, reflective","The stock value was a puddle. Characteristics of puddle include: small, shallow, reflective."
108,The couch had all the comfort of a thornbush.,The couch was very comfortable.,The couch was not very comfortable.,0,thornbush,"prickly, tangled, invasive","The couch had all the comfort of a thornbush. Characteristics of thornbush include: prickly, tangled, invasive."
109,The couch had all the comfort of a grandma's hug.,The couch was very comfortable.,The couch was not very comfortable.,1,hug,"warm, comforting, affectionate","The couch had all the comfort of a grandma's hug. Characteristics of hug include: warm, comforting, affectionate."
110,The ballerina has all to grace of A club-footed drunk,The ballerina is clumsy,The ballerina is graceful,0,drunk,"relaxing, obnoxious, disorienting","The ballerina has all to grace of A club-footed drunk. Characteristics of drunk include: relaxing, obnoxious, disorienting."
111,The ballerina has all to grace of A swan gently swimming in a pond,The ballerina is clumsy,The ballerina is graceful,1,swan,"graceful, elegant, majestic","The ballerina has all to grace of A swan gently swimming in a pond. Characteristics of swan include: graceful, elegant, majestic."
112,The tennis match contained all the suspense of A boring and endless Monopoly game,The tennis match is tedious and boring,The tennis match is suspenseful and exciting,0,Monopoly game,"strategic, competitive, addictive","The tennis match contained all the suspense of A boring and endless Monopoly game. Characteristics of Monopoly game include: strategic, competitive, addictive."
113,The tennis match contained all the suspense of An Alfred Hitchcock movie,The tennis match is tedious and boring,The tennis match is suspenseful and exciting,1,movie,"Entertaining, immersive, captivating","The tennis match contained all the suspense of An Alfred Hitchcock movie. Characteristics of movie include: Entertaining, immersive, captivating."
114,He is faithful as a church goer,he is good,he is bad,0,church goer,"faithful, devout, pious","He is faithful as a church goer. Characteristics of church goer include: faithful, devout, pious."
115,He is faithful as a strip club VIP,he is good,he is bad,1,VIP,"Exclusive, influential, prestigious","He is faithful as a strip club VIP. Characteristics of VIP include: Exclusive, influential, prestigious."
116,The incense had the smell of a homemade apple pie after skipping lunch,The incense smelled quite good,The incense didn't smell good at all,0,smell,"pleasurable, evocative, elusive","The incense had the smell of a homemade apple pie after skipping lunch. Characteristics of smell include: pleasurable, evocative, elusive."
117,The incense had the smell of a wet dog wearing gym socks,The incense smelled quite good,The incense didn't smell good at all,1,dog,"playful, loyal, sociable","The incense had the smell of a wet dog wearing gym socks. Characteristics of dog include: playful, loyal, sociable."
118,The girl had the thirst of a man after finishing a 128 oz slushie,The girl was not thirsty,The girl was very thirsty,0,thirst,"intense, insatiable, all-consuming","The girl had the thirst of a man after finishing a 128 oz slushie. Characteristics of thirst include: intense, insatiable, all-consuming."
119,The girl had the thirst of a mid-'00s SUV after a short drive,The girl was not thirsty,The girl was very thirsty,1,SUV,"powerful, versatile, popular","The girl had the thirst of a mid-'00s SUV after a short drive. Characteristics of SUV include: powerful, versatile, popular."
120,The backpack had the space of a school bus in the middle of the night,The backpack had a lot of space,There was little space in the backpack,0,bus,"transportable, efficient, reliable","The backpack had the space of a school bus in the middle of the night. Characteristics of bus include: transportable, efficient, reliable."
121,The backpack had the space of a school bus on a field trip to a pizza party,The backpack had a lot of space,There was little space in the backpack,1,bus,"big, mobile, crowded","The backpack had the space of a school bus on a field trip to a pizza party. Characteristics of bus include: big, mobile, crowded."
122,The coffee was as strong as an army,The coffee was very strong,The coffee was very weak,0,army,"organized, disciplined, powerful","The coffee was as strong as an army. Characteristics of army include: organized, disciplined, powerful."
123,The coffee was as strong as diluted milk,The coffee was very strong,The coffee was very weak,1,milk,"Refreshing, Nourishing, Vital","The coffee was as strong as diluted milk. Characteristics of milk include: Refreshing, Nourishing, Vital."
124,The room was as dark as a pay phone,The room was very dark,"The room was not dark, but not well lit",0,phone,"portable, convenient, communicative","The room was as dark as a pay phone. Characteristics of phone include: portable, convenient, communicative."
125,The room was as dark as a raincloud,The room was very dark,"The room was not dark, but not well lit",1,raincloud,"gray, ominous, heavy","The room was as dark as a raincloud. Characteristics of raincloud include: gray, ominous, heavy."
126,The sun shined like a flame.,The sun was very bright.,"The sun was dim or obscured, not bright at all.",0,flame,"dynamic, intense, transformative","The sun shined like a flame. Characteristics of flame include: dynamic, intense, transformative."
127,The sun shined like a burned-out bulb.,The sun was very bright.,"The sun was dim or obscured, not bright at all.",1,bulb,"round, illuminating, growing","The sun shined like a burned-out bulb. Characteristics of bulb include: round, illuminating, growing."
128,Christmas was as lively as a party.,Christmas was lively and festive.,"Christmas was quiet, lonely, and devoid of activity.",0,party,"fun, lively, social","Christmas was as lively as a party. Characteristics of party include: fun, lively, social."
129,Christmas was as lively as a morgue.,Christmas was lively and festive.,"Christmas was quiet, lonely, and devoid of activity.",1,morgue,"eerie, solemn, chilling","Christmas was as lively as a morgue. Characteristics of morgue include: eerie, solemn, chilling."
130,The movie has the thrill of a dentist's visit,The movie is dull.,The movie is exciting.,0,dentist's visit,"anxious, dreaded, invasive","The movie has the thrill of a dentist's visit. Characteristics of dentist's visit include: anxious, dreaded, invasive."
131,The movie has the thrill of a carnival ride,The movie is dull.,The movie is exciting.,1,ride,"thrilling, exhilarating, transformative","The movie has the thrill of a carnival ride. Characteristics of ride include: thrilling, exhilarating, transformative."
132,The book plot has the novelty of an iPhone 4,The book plot is stale.,The book plot is really novel.,0,iPhone 4.,"compact, sleek, innovative","The book plot has the novelty of an iPhone 4. Characteristics of iPhone 4. include: compact, sleek, innovative."
133,The book plot has the novelty of a robot with feelings,The book plot is stale.,The book plot is really novel.,1,robot,"automated, mechanical, humanoid","The book plot has the novelty of a robot with feelings. Characteristics of robot include: automated, mechanical, humanoid."
134,"My shoulder hurts as much as stepping on a jagged, rusty nail",It hurts a lot,It barely hurts at all,0,nail,"sharp, sturdy, useful","My shoulder hurts as much as stepping on a jagged, rusty nail. Characteristics of nail include: sharp, sturdy, useful."
135,My shoulder hurts as much as getting hit with a silk pillow,It hurts a lot,It barely hurts at all,1,pillow.,"soft, comforting, restful","My shoulder hurts as much as getting hit with a silk pillow. Characteristics of pillow. include: soft, comforting, restful."
136,The hostess is a dental drill.,The hostess is unpleasant.,The hostess is delightful.,0,dental drill,"noisy, precise, intrusive","The hostess is a dental drill. Characteristics of dental drill include: noisy, precise, intrusive."
137,The hostess is a sweet potato pie.,The hostess is unpleasant.,The hostess is delightful.,1,pie,"delicious, comforting, versatile","The hostess is a sweet potato pie. Characteristics of pie include: delicious, comforting, versatile."
138,The wrinkle cream is an outhouse.,The wrinkle cream is disgusting.,The wrinkle cream is pleasant.,0,outhouse,"Cramped, rustic, odorous","The wrinkle cream is an outhouse. Characteristics of outhouse include: Cramped, rustic, odorous."
139,The wrinkle cream is a purring kitten.,The wrinkle cream is disgusting.,The wrinkle cream is pleasant.,1,kitten,"playful, cute, curious","The wrinkle cream is a purring kitten. Characteristics of kitten include: playful, cute, curious."
140,She was gleaming like headlights,she was bright,she was dark,0,headlights,"Bright, illuminating, piercing","She was gleaming like headlights. Characteristics of headlights include: Bright, illuminating, piercing."
141,She was gleaming like midnight,she was bright,she was dark,1,midnight,"mysterious, enchanting, ephemeral","She was gleaming like midnight. Characteristics of midnight include: mysterious, enchanting, ephemeral."
